avg_rating,board_game_rank,game_sub_url,geek_rating,num_voters,title
"
			10822		",Twilight Imperium (Fourth Edition)
"
			6.87		","<a name=""1402""></a>",/boardgame/232/serenissima,"
			6.288		","
			2204		",Serenissima
"
			7.46		","<a name=""902""></a>",/boardgame/242804/lowlands,"
			6.550		","
			1681		",Lowlands
"
			7.17		","<a name=""1002""></a>",/boardgame/205716/new-angeles,"
			6.487		","
			2321		",New Angeles
"
			7.06		","<a name=""1602""></a>",/boardgame/173156/timeline-challenge,"
			6.215		","
			1225		",Timeline Challenge
"
			6.78		","<a name=""1102""></a>",/boardgame/113401/timeline-events,"
			6.428		","
			3974		",Timeline: Events
"
			6.51		","<a name=""1202""></a>",/boardgame/438/scotland-yard,"
			6.376		","
			13537		",Scotland Yard
"
			7.55		","<a name=""205""></a>",/boardgame/158600/hanamikoji,"
			7.241		","
			8975		",Hanamikoji
"
			8.11		","<a name=""104""></a>",/boardgame/266810/paladins-west-kingdom,"
			7.457		","
			4736		",Paladins of the West Kingdom
"
			7.49		","<a name=""705""></a>",/boardgame/174570/legendary-encounters-predator-deck-building-game,"
			6.690		","
			2291		",Legendary Encounters: A Predator Deck Building Game
"
			7.25		","<a name=""405""></a>",/boardgame/27173/vikings,"
			6.968		","
			7773		",Vikings
"
			7.50		","<a name=""605""></a>",/boardgame/1035/squad-leader,"
			6.780		","
			3049		",Squad Leader
"
			7.30		","<a name=""305""></a>",/boardgame/66188/fresco,"
			7.084		","
			11377		",Fresco
"
			7.71		","<a name=""504""></a>",/boardgame/216734/dice-throne-season-one,"
			6.868		","
			3358		",Dice Throne: Season One
"
			7.56		","<a name=""1303""></a>",/boardgame/155255/pax-pamir,"
			6.330		","
			1008		",Pax Pamir
"
			7.31		","<a name=""1701""></a>",/boardgame/9215/revolution-dutch-revolt-1568-1648,"
			6.179		","
			906		",Revolution: The Dutch Revolt 1568-1648
"
			8.43		","<a name=""804""></a>",/boardgame/227460/hannibal-hamilcar,"
			6.621		","
			1002		",Hannibal & Hamilcar
"
			6.72		","<a name=""1901""></a>",/boardgame/531/merchants-amsterdam,"
			6.114		","
			1536		",Merchants of Amsterdam
"
			6.98		","<a name=""1503""></a>",/boardgame/6779/ark-covenant,"
			6.251		","
			1489		",The Ark of the Covenant
"
			8.42		","<a name=""7""></a>",/boardgame/187645/star-wars-rebellion,"
			8.158		","
			20429		",Star Wars: Rebellion
"
			6.93		","<a name=""1403""></a>",/boardgame/168681/beyond-baker-street,"
			6.287		","
			1759		",Beyond Baker Street
"
			7.31		","<a name=""903""></a>",/boardgame/247236/duelosaur-island,"
			6.550		","
			2081		",Duelosaur Island
"
			7.55		","<a name=""1003""></a>",/boardgame/61692/axis-allies-europe-1940,"
			6.487		","
			1777		",Axis & Allies Europe 1940
"
			6.82		","<a name=""1603""></a>",/boardgame/123219/oddville,"
			6.215		","
			1780		",OddVille
"
			7.99		","<a name=""1103""></a>",/boardgame/248065/zombicide-invader,"
			6.427		","
			1084		",Zombicide: Invader
"
			7.34		","<a name=""1203""></a>",/boardgame/200057/pioneer-days,"
			6.376		","
			1339		",Pioneer Days
"
			7.53		","<a name=""206""></a>",/boardgame/181279/fury-dracula-thirdfourth-edition,"
			7.238		","
			10311		",Fury of Dracula (Third/Fourth Edition)
"
			7.79		","<a name=""105""></a>",/boardgame/155821/inis,"
			7.456		","
			11023		",Inis
"
			7.86		","<a name=""706""></a>",/boardgame/207243/city-kings,"
			6.688		","
			1741		",The City of Kings
"
			7.20		","<a name=""406""></a>",/boardgame/34119/tales-arabian-nights,"
			6.965		","
			11211		",Tales of the Arabian Nights
"
			6.91		","<a name=""606""></a>",/boardgame/432/6-nimmt,"
			6.779		","
			18432		",6 nimmt!
"
			7.27		","<a name=""306""></a>",/boardgame/15987/arkham-horror,"
			7.083		","
			35913		",Arkham Horror
"
			7.29		","<a name=""505""></a>",/boardgame/126792/myrmes,"
			6.867		","
			4876		",Myrmes
"
			7.76		","<a name=""1304""></a>",/boardgame/2251/strat-o-matic-baseball,"
			6.330		","
			1035		",Strat-O-Matic Baseball
"
			7.13		","<a name=""2001""></a>",/boardgame/231567/now-boarding,"
			6.081		","
			808		",Now Boarding
"
			7.80		","<a name=""1702""></a>",/boardgame/222407/lignum-second-edition,"
			6.179		","
			602		",Lignum (Second Edition)
"
			7.27		","<a name=""805""></a>",/boardgame/6830/zendo,"
			6.620		","
			2556		",Zendo
"
			6.92		","<a name=""1902""></a>",/boardgame/2533/kupferkessel-co,"
			6.114		","
			1076		",Kupferkessel Co.
"
			6.59		","<a name=""1504""></a>",/boardgame/249/lifeboats,"
			6.251		","
			3374		",Lifeboats
"
