,number,value,datetime_start,datetime_complete,duration,params_boosting_type,params_class_weight,params_learning_rate,params_max_depth,params_min_data_in_leaf,params_n_estimators,params_num_leaves,params_sampling_strategy,state
29,29,0.07518790662853563,2020-09-03 15:34:07.357502,2020-09-03 15:34:10.889172,0 days 00:00:03.531670,gbdt,,24.284401074938778,94,45,150,75,0.75,COMPLETE
30,30,0.09062481563661226,2020-09-03 15:34:10.893707,2020-09-03 15:34:14.089453,0 days 00:00:03.195746,gbdt,,35.23403685885576,69,55,80,85,1.0,COMPLETE
31,31,0.10248590620953113,2020-09-03 15:34:14.096565,2020-09-03 15:34:17.923834,0 days 00:00:03.827269,gbdt,,10.33961168990037,89,15,220,100,0.55,COMPLETE
32,32,0.3810513781345442,2020-09-03 15:34:17.928768,2020-09-03 15:34:28.444797,0 days 00:00:10.516029,gbdt,,0.577947697121675,89,20,240,95,0.7000000000000001,COMPLETE
33,33,0.35465139167329746,2020-09-03 15:34:28.451813,2020-09-03 15:34:38.275110,0 days 00:00:09.823297,gbdt,,0.42195293659898975,75,30,160,95,0.8,COMPLETE
34,34,0.1259823282990404,2020-09-03 15:34:38.278318,2020-09-03 15:34:42.937795,0 days 00:00:04.659477,gbdt,,18.181194620943565,100,10,290,85,0.7000000000000001,COMPLETE
35,35,0.025787341320114614,2020-09-03 15:34:42.943532,2020-09-03 15:34:48.472976,0 days 00:00:05.529444,gbdt,,55.36989016381729,82,20,370,90,0.9,COMPLETE
36,36,0.03411145484548675,2020-09-03 15:34:48.476473,2020-09-03 15:34:51.895067,0 days 00:00:03.418594,dart,balanced,70.23467242597012,78,35,190,75,0.7000000000000001,COMPLETE
37,37,0.06525735139216729,2020-09-03 15:34:51.900953,2020-09-03 15:34:54.511827,0 days 00:00:02.610874,gbdt,,8.983001279756294,34,5,100,95,0.6,COMPLETE
38,38,0.08445709356528149,2020-09-03 15:34:54.515938,2020-09-03 15:34:57.283672,0 days 00:00:02.767734,gbdt,,38.74144173967873,-1,65,260,85,0.15000000000000002,COMPLETE
39,39,0.20466240607496747,2020-09-03 15:34:57.291107,2020-09-03 15:35:01.573503,0 days 00:00:04.282396,gbdt,,99.8069452762413,92,20,350,60,0.8,COMPLETE
40,40,0.12287949744809368,2020-09-03 15:35:01.577320,2020-09-03 15:35:04.946972,0 days 00:00:03.369652,goss,balanced,15.527092835536138,69,30,50,70,0.85,COMPLETE
41,41,0.3655731665920677,2020-09-03 15:35:04.955246,2020-09-03 15:35:12.812743,0 days 00:00:07.857497,gbdt,,0.8938210547285567,90,20,230,100,0.55,COMPLETE
42,42,0.08426327842918749,2020-09-03 15:35:12.819627,2020-09-03 15:35:15.929158,0 days 00:00:03.109531,gbdt,,5.875734236409188,99,10,180,100,0.5,COMPLETE
43,43,0.1158896022806877,2020-09-03 15:35:15.932822,2020-09-03 15:35:19.482375,0 days 00:00:03.549553,gbdt,,4.2830104575013594,92,35,220,45,0.6,COMPLETE
44,44,0.08521535996703852,2020-09-03 15:35:19.486191,2020-09-03 15:35:23.612932,0 days 00:00:04.126741,gbdt,,12.3204943112163,78,20,280,90,0.45000000000000007,COMPLETE
45,45,0.14111209049157242,2020-09-03 15:35:23.621069,2020-09-03 15:35:28.790444,0 days 00:00:05.169375,gbdt,,19.34898466029254,49,40,320,95,0.7000000000000001,COMPLETE
46,46,0.08629104129436307,2020-09-03 15:35:28.803094,2020-09-03 15:35:32.638689,0 days 00:00:03.835595,gbdt,,26.789669403646066,6,15,130,80,0.65,COMPLETE
47,47,0.13006274233174975,2020-09-03 15:35:32.648713,2020-09-03 15:35:42.471968,0 days 00:00:09.823255,goss,balanced,6.578868000464334,35,80,250,95,0.75,COMPLETE
48,48,0.4291834798346869,2020-09-03 15:35:42.480449,2020-09-03 15:35:48.299340,0 days 00:00:05.818891,gbdt,,0.25513842625874644,43,25,300,10,0.45000000000000007,COMPLETE
49,49,0.12636098152398398,2020-09-03 15:35:48.310255,2020-09-03 15:35:52.917355,0 days 00:00:04.607100,dart,,44.81570820480583,27,45,410,10,0.30000000000000004,COMPLETE
50,50,0.08832594387844155,2020-09-03 15:35:52.923198,2020-09-03 15:35:58.530272,0 days 00:00:05.607074,gbdt,,11.217893395148785,44,30,450,35,0.35,COMPLETE
51,51,0.11730856246681291,2020-09-03 15:35:58.542704,2020-09-03 15:36:03.038616,0 days 00:00:04.495912,gbdt,,4.358070104500758,13,25,300,15,0.45000000000000007,COMPLETE
52,52,0.3143103819736578,2020-09-03 15:36:03.047527,2020-09-03 15:36:10.977970,0 days 00:00:07.930443,gbdt,,0.8416304018835096,85,10,220,100,0.4,COMPLETE
53,53,0.3823433006020716,2020-09-03 15:36:10.981456,2020-09-03 15:36:19.247306,0 days 00:00:08.265850,gbdt,,0.40271188875611796,55,20,330,25,0.55,COMPLETE
54,54,0.10001496194882471,2020-09-03 15:36:19.253487,2020-09-03 15:36:23.262374,0 days 00:00:04.008887,gbdt,,7.2422652891826065,57,25,330,25,0.45000000000000007,COMPLETE
55,55,0.09058175864684562,2020-09-03 15:36:23.271764,2020-09-03 15:36:26.983642,0 days 00:00:03.711878,gbdt,,14.442413141543419,43,15,350,20,0.35,COMPLETE
56,56,0.13157736377393184,2020-09-03 15:36:26.986963,2020-09-03 15:36:30.833644,0 days 00:00:03.846681,gbdt,,4.130935803202732,53,90,270,25,0.5,COMPLETE
57,57,0.038893451589154616,2020-09-03 15:36:30.843585,2020-09-03 15:36:34.748519,0 days 00:00:03.904934,gbdt,,7.436223685279372,38,35,380,10,0.25,COMPLETE
58,58,0.14791428331176049,2020-09-03 15:36:34.754059,2020-09-03 15:36:46.990480,0 days 00:00:12.236421,goss,,0.6406488276091556,64,5,350,50,0.65,COMPLETE
59,59,0.0755842962883252,2020-09-03 15:36:47.004014,2020-09-03 15:36:50.896133,0 days 00:00:03.892119,gbdt,,19.45220811492011,53,20,300,40,0.6,COMPLETE
60,60,0.153425193958389,2020-09-03 15:36:50.899822,2020-09-03 15:36:55.418415,0 days 00:00:04.518593,gbdt,balanced,4.136338908034762,26,30,320,15,0.75,COMPLETE
61,61,0.3494020409174876,2020-09-03 15:36:55.426061,2020-09-03 15:37:08.301424,0 days 00:00:12.875363,gbdt,,0.25848815559151156,96,20,240,90,0.55,COMPLETE
62,62,0.3454366318986105,2020-09-03 15:37:08.308383,2020-09-03 15:37:19.002581,0 days 00:00:10.694198,gbdt,,0.45321347861276134,70,15,210,90,0.5,COMPLETE
63,63,0.10508146319349791,2020-09-03 15:37:19.008450,2020-09-03 15:37:22.913522,0 days 00:00:03.905072,gbdt,,9.873536256727066,60,25,250,95,0.4,COMPLETE
64,64,0.12302209126303776,2020-09-03 15:37:22.923263,2020-09-03 15:37:27.023963,0 days 00:00:04.100700,gbdt,,3.281807872381282,74,20,280,80,0.6,COMPLETE
65,65,0.12895640773384537,2020-09-03 15:37:27.030336,2020-09-03 15:37:30.140133,0 days 00:00:03.109797,gbdt,,14.06786471005833,19,10,170,85,0.55,COMPLETE
66,66,0.11792019148036634,2020-09-03 15:37:30.144565,2020-09-03 15:37:33.908537,0 days 00:00:03.763972,gbdt,,7.832869106029523,88,60,240,70,0.7000000000000001,COMPLETE
67,67,0.09873966836936363,2020-09-03 15:37:33.912959,2020-09-03 15:37:37.610166,0 days 00:00:03.697207,dart,,3.9069377302123556,3,30,200,30,0.65,COMPLETE
68,68,0.043314126014175926,2020-09-03 15:37:37.614658,2020-09-03 15:37:40.542015,0 days 00:00:02.927357,gbdt,,85.06192295772999,13,95,270,100,0.30000000000000004,COMPLETE
69,69,0.10414864924816658,2020-09-03 15:37:40.545982,2020-09-03 15:37:44.674519,0 days 00:00:04.128537,gbdt,,9.877153458175819,66,25,340,95,0.55,COMPLETE
70,70,0.3574692755605279,2020-09-03 15:37:44.685302,2020-09-03 15:37:51.413593,0 days 00:00:06.728291,gbdt,,0.7427922122105026,82,40,310,20,0.35,COMPLETE
71,71,0.13459948442199426,2020-09-03 15:37:51.424281,2020-09-03 15:37:56.017397,0 days 00:00:04.593116,gbdt,,2.6372139202343883,88,15,220,100,0.55,COMPLETE
72,72,0.3682394216515921,2020-09-03 15:37:56.031000,2020-09-03 15:38:06.860161,0 days 00:00:10.829161,gbdt,,0.5888298013487077,97,20,230,100,0.6,COMPLETE
73,73,0.3498894406625569,2020-09-03 15:38:06.865891,2020-09-03 15:38:21.822574,0 days 00:00:14.956683,gbdt,,0.13732699289568473,95,20,260,85,0.7000000000000001,COMPLETE
74,74,0.09474280948164256,2020-09-03 15:38:21.832352,2020-09-03 15:38:26.286054,0 days 00:00:04.453702,gbdt,,6.786172661956082,100,15,290,90,0.65,COMPLETE
75,75,0.11411986257881471,2020-09-03 15:38:26.290213,2020-09-03 15:38:29.731412,0 days 00:00:03.441199,gbdt,,12.374852191166312,54,25,190,95,0.5,COMPLETE
76,76,0.16475618843211923,2020-09-03 15:38:29.743720,2020-09-03 15:38:33.916540,0 days 00:00:04.172820,gbdt,,2.7146452166795982,92,10,240,100,0.6,COMPLETE
77,77,0.09674899957800756,2020-09-03 15:38:33.921489,2020-09-03 15:38:37.753969,0 days 00:00:03.832480,gbdt,,17.317933217290467,98,35,280,90,0.45000000000000007,COMPLETE
78,78,0.15520961673552824,2020-09-03 15:38:37.757802,2020-09-03 15:38:40.963855,0 days 00:00:03.206053,gbdt,,5.805822173125412,49,70,150,75,0.65,COMPLETE
79,79,0.11109562713272414,2020-09-03 15:38:40.969244,2020-09-03 15:38:49.505052,0 days 00:00:08.535808,goss,,50.26650169859564,46,20,230,100,0.5,COMPLETE
80,80,0.4172839877271331,2020-09-03 15:38:49.508413,2020-09-03 15:38:54.418310,0 days 00:00:04.909897,gbdt,,0.13528972805428777,81,5,40,95,0.75,COMPLETE
81,81,0.39232894851451555,2020-09-03 15:38:54.424782,2020-09-03 15:38:58.195015,0 days 00:00:03.770233,gbdt,,0.44065964762460386,90,15,30,95,0.8,COMPLETE
82,82,0.09940734744157367,2020-09-03 15:38:58.203597,2020-09-03 15:39:01.017621,0 days 00:00:02.814024,gbdt,,8.402636221090459,82,5,30,95,0.85,COMPLETE
83,83,0.11614383185767992,2020-09-03 15:39:01.026023,2020-09-03 15:39:04.485136,0 days 00:00:03.459113,gbdt,,2.5645189278482756,93,10,60,90,0.8,COMPLETE
84,84,0.41118708586988595,2020-09-03 15:39:04.501688,2020-09-03 15:39:09.366666,0 days 00:00:04.864978,gbdt,,0.1075296089872923,97,5,40,85,0.75,COMPLETE
85,85,0.09896783672101386,2020-09-03 15:39:09.381899,2020-09-03 15:39:12.465974,0 days 00:00:03.084075,gbdt,,5.094337448968943,86,5,10,85,0.75,COMPLETE
86,86,0.05685859027874118,2020-09-03 15:39:12.478416,2020-09-03 15:39:15.739558,0 days 00:00:03.261142,gbdt,,11.984731878733012,97,10,40,95,0.85,COMPLETE
87,87,0.41282106473297075,2020-09-03 15:39:15.754833,2020-09-03 15:39:20.425265,0 days 00:00:04.670432,gbdt,balanced,0.289729169667311,90,15,30,80,0.9,COMPLETE
88,88,0.11808572786944863,2020-09-03 15:39:20.432696,2020-09-03 15:39:23.973634,0 days 00:00:03.540938,dart,balanced,8.896540818569186,90,15,90,80,0.9,COMPLETE
89,89,0.12365996135301385,2020-09-03 15:39:23.985598,2020-09-03 15:39:26.680664,0 days 00:00:02.695066,gbdt,balanced,2.623799771854056,78,5,20,85,0.9500000000000001,COMPLETE
90,90,0.11955493411259495,2020-09-03 15:39:26.684255,2020-09-03 15:39:30.040677,0 days 00:00:03.356422,gbdt,balanced,68.84045431216481,90,10,70,80,0.75,COMPLETE
