,url,category,mechanic,family
0,['https://boardgamegeek.com/boardgame/166156/hoshi-battle/credits'],['Action / Dexterity'],['Dice Rolling'],[]
1,['https://boardgamegeek.com/boardgame/2172/stealth-chess/credits'],"['Abstract Strategy', 'Deduction', 'Memory']",['Grid Movement'],['Traditional Games: Chess']
2,['https://boardgamegeek.com/boardgame/5348/khe-sanh-1968/credits'],"['Modern Warfare', 'Vietnam War', 'Wargame']",['Hexagon Grid'],['Magazine: Against The Odds']
3,['https://boardgamegeek.com/boardgame/153484/hedbanz-act/credits'],"['Deduction', 'Party Game']",['Acting'],"['Hedbanz', ""Mechanic: Deduction – Blind Man's Bluff""]"
4,['https://boardgamegeek.com/boardgame/27546/champions-faith/credits'],"['Adventure', 'Educational', 'Religious']","['Dice Rolling', 'Roll / Spin and Move']",['Religious: The Bible']
5,['https://boardgamegeek.com/boardgame/120618/1000-bornes-express/credits'],['Card Game'],['Hand Management'],"['Mille Bornes', 'Movies: Cars']"
6,['https://boardgamegeek.com/boardgame/172510/asterix-obelix-mission-zaubertrank/credits'],['Comic Book / Strip'],['Cooperative Game'],['Comic Books: Asterix']
7,['https://boardgamegeek.com/boardgame/25104/absolut-overens/credits'],"['Party Game', 'Trivia']","['Cooperative Game', 'Paper-and-Pencil']",[]
8,['https://boardgamegeek.com/boardgame/9506/ooga/credits'],"['Action / Dexterity', 'Animals', ""Children's Game"", 'Humor', 'Prehistoric', 'Real-time']",['Set Collection'],['Animals: Dinosaurs']
9,['https://boardgamegeek.com/boardgame/8930/buffy-vampire-slayer-ccg/credits'],"['Card Game', 'Collectible Components']",[],"['CCGs (Collectible Card Games)', 'Creatures: Vampires', 'TV Series: Buffy the Vampire Slayer']"
10,['https://boardgamegeek.com/boardgame/824/hijara/credits'],"['Abstract Strategy', 'Arabian']",['Pattern Building'],"['Containers: Tubes', 'n in a row']"
11,['https://boardgamegeek.com/boardgame/174057/kajko-i-kokosz-przygody-wojow/credits'],"['Card Game', ""Children's Game"", 'Comic Book / Strip', 'Medieval', 'Memory']","['Card Drafting', 'Memory', 'Push Your Luck', 'Set Collection']",['Kajko i Kokosz']
12,['https://boardgamegeek.com/boardgame/2372/gazza-game/credits'],"['Card Game', 'Sports']","['Card Drafting', 'Hand Management']",['Sports: Football / Soccer']
13,['https://boardgamegeek.com/boardgame/167892/gang/credits'],"['Card Game', 'Comic Book / Strip', 'Humor', 'Mafia', 'Spies/Secret Agents']","['Betting and Bluffing', 'Team-Based Game', 'Traitor Game']","['Admin: Better Description Needed!', 'Admin: Unreleased Games', 'Crowdfunding: Kickstarter']"
14,['https://boardgamegeek.com/boardgame/164300/pixel-guardians/credits'],"['Card Game', 'Fantasy']","['Hand Management', 'Pattern Building', 'Take That']","['Creatures: Dragons', 'Crowdfunding: Kickstarter']"
15,['https://boardgamegeek.com/boardgame/26052/canossa/credits'],"['Abstract Strategy', 'Medieval']",['Hexagon Grid'],[]
16,['https://boardgamegeek.com/boardgame/191512/kuhno/credits'],['Card Game'],[],['Admin: Better Description Needed!']
17,['https://boardgamegeek.com/boardgame/11112/rommel-gazala/credits'],"['Wargame', 'World War II']","['Dice Rolling', 'Hexagon Grid']","['History: World War II (Africa)', 'Magazine: Command', 'Region: North Africa', 'Theme: Deserts']"
18,['https://boardgamegeek.com/boardgame/5554/vampire/credits'],['Horror'],['Grid Movement'],"['Components: 3-Dimensional (3D)', 'Creatures: Vampires']"
19,['https://boardgamegeek.com/boardgame/120924/hug-me/credits'],"['Card Game', 'Horror', 'Zombies']","['Dice Rolling', 'Modular Board', 'Team-Based Game', 'Variable Player Powers']",[]
20,['https://boardgamegeek.com/boardgame/9201/spy/credits'],"['Abstract Strategy', 'Card Game', 'Spies/Secret Agents']",['Hand Management'],[]
21,['https://boardgamegeek.com/boardgame/190162/putin-strikes-coming-war-eastern-europe/credits'],"['Modern Warfare', 'Wargame']","['Dice Rolling', 'Grid Movement', 'Hexagon Grid', 'Simulation', 'Zone of Control']",['Theme: Alternate History']
22,['https://boardgamegeek.com/boardgame/103714/lord-rings-nazgul/credits'],"['Fantasy', 'Novel-based']","['Auction/Bidding', 'Variable Player Powers']","['Authors: J.R.R. Tolkien', 'Components: Clix']"
