,url,category,mechanic,family
0,['https://boardgamegeek.com/boardgame/129858/la-venise-du-nord/credits'],"['Economic', 'Renaissance']","['Commodity Speculation', 'Dice Rolling', 'Modular Board']","['Cities: Bruges (Belgium)', 'Country: Belgium']"
1,['https://boardgamegeek.com/boardgame/169658/guardians-explore/credits'],"['Card Game', 'Fantasy']","['Area Majority / Influence', 'Card Drafting', 'Deck, Bag, and Pool Building', 'Worker Placement']",['Crowdfunding: Kickstarter']
2,['https://boardgamegeek.com/boardgame/167604/rollet/credits'],"['Action / Dexterity', 'Party Game']",[],[]
3,['https://boardgamegeek.com/boardgame/2888/starfire-ii/credits'],"['Science Fiction', 'Wargame']","['Area-Impulse', 'Hexagon Grid', 'Modular Board', 'Variable Player Powers']","['Series: Pocket Games (Task Force Games)', 'Starfire']"
4,['https://boardgamegeek.com/boardgame/209659/marvel-dice-masters-guardians-galaxy/credits'],"['Comic Book / Strip', 'Dice', 'Fighting']","['Deck, Bag, and Pool Building', 'Dice Rolling', 'Variable Player Powers']","['Admin: Unreleased Games', 'CDGs (Collectible Dice Games)', 'Comic Books: Marvel Universe', 'Game: Dice Masters', 'Quarriors Pool Building system']"
5,['https://boardgamegeek.com/boardgame/1722/caesars-legions/credits'],"['Ancient', 'Wargame']","['Dice Rolling', 'Grid Movement', 'Hexagon Grid', 'Secret Unit Deployment', 'Simulation', 'Simultaneous Action Selection']","['Ancient: Rome', 'Country: Germany']"
6,['https://boardgamegeek.com/boardgame/8071/tannenberg-and-opening-battles-east-1914/credits'],"['Wargame', 'World War I']","['Hexagon Grid', 'Simulation']","['History: 1914 Guns of August Campaign', 'Magazine: Strategy & Tactics', 'Series: Great War in the East (SPI)']"
7,['https://boardgamegeek.com/boardgame/168662/siege-orgun-afghanistan-1983/credits'],"['Modern Warfare', 'Wargame']","['Area Movement', 'Area-Impulse', 'Dice Rolling', 'Movement Points', 'Simulation']",['History: Soviet-Afghan War']
8,['https://boardgamegeek.com/boardgame/4323/voc-founding-dutch-east-indies-company/credits'],"['Nautical', 'Negotiation']","['Line Drawing', 'Pick-up and Deliver']","['Cities: Jakarta (Indonesia)', 'Country: The Netherlands']"
9,['https://boardgamegeek.com/boardgame/268159/warhammer-game-fantasy-battles-6th-edition/credits'],"['Book', 'Fantasy', 'Miniatures', 'Wargame']","['Dice Rolling', 'Modular Board', 'Variable Player Powers']",['Warhammer Fantasy Wargames']
10,['https://boardgamegeek.com/boardgame/765/space-walk/credits'],"['Abstract Strategy', 'Science Fiction']",['Mancala'],"['Mechanic: Combinatorial', 'Traditional Games: Mancala']"
11,['https://boardgamegeek.com/boardgame/284294/ratville/credits'],"['City Building', 'Fantasy']","['Dice Rolling', 'Hand Management', 'Modular Board', 'Variable Player Powers']","['Animals: Rats', 'Creatures: Monsters', 'Theme: Post-Apocalyptic']"
12,['https://boardgamegeek.com/boardgame/54201/d6-shooters/credits'],"['American West', 'Dice', 'Print & Play']","['Dice Rolling', 'Paper-and-Pencil']","['Players: Games with Solitaire Rules', 'Players: Solitaire Only Games']"
13,['https://boardgamegeek.com/boardgame/68931/flee-scene/credits'],"['Trains', 'Transportation', 'Travel']",['Pick-up and Deliver'],[]
14,['https://boardgamegeek.com/boardgame/164589/roar-saurus/credits'],"['Action / Dexterity', 'Dice', 'Real-time']","['Dice Rolling', 'Simultaneous Action Selection', 'Variable Phase Order']","['Animals: Dinosaurs', 'Crowdfunding: Kickstarter']"
15,['https://boardgamegeek.com/boardgame/9300/clay-o-rama/credits'],"['Action / Dexterity', 'Fighting', 'Humor', 'Party Game']",['Variable Player Powers'],"['Components: Play Dough / Modeling Clay', 'Magazine: Dragon']"
16,['https://boardgamegeek.com/boardgame/62291/fatal-alliances-great-war/credits'],"['Wargame', 'World War I']","['Area Movement', 'Dice Rolling', 'Hexagon Grid', 'Point to Point Movement', 'Simulation']","['Continents: Africa', 'Continents: Europe', 'Series: World in Flames (ADG)']"
