,url,category,mechanic,family
0,['https://boardgamegeek.com/boardgame/769/star-trek-red-alert/credits'],"['Collectible Components', 'Fighting', 'Movies / TV / Radio theme', 'Science Fiction']",['Variable Player Powers'],"['CTGs (Collectible Token Games)', 'TV Series: Star Trek']"
1,['https://boardgamegeek.com/boardgame/139/hoax/credits'],"['Bluffing', 'Deduction']",['Voting'],[]
2,['https://boardgamegeek.com/boardgame/10234/arriba-espana/credits'],"['Civil War', 'Print & Play', 'Wargame']","['Area Movement', 'Simulation']","['Country: Spain', 'History: Spanish Civil War', 'Magazine: World at War']"
3,['https://boardgamegeek.com/boardgame/245206/x-files-circle-truth/credits'],"['Card Game', 'Movies / TV / Radio theme', 'Science Fiction', 'Territory Building']","['Card Drafting', 'Melding and Splaying', 'Tile Placement']","['Series: Wallet Games (Button Shy)', 'TV Series: The X-Files']"
4,['https://boardgamegeek.com/boardgame/225526/big-bang-137/credits'],['Abstract Strategy'],"['Pattern Building', 'Team-Based Game', 'Tile Placement', 'Time Track']","['Crowdfunding: Kickstarter', 'Crowdfunding: Verkami', 'Organizations: Board Games Association of Creators in Spain (LUDO)']"
5,['https://boardgamegeek.com/boardgame/323/anno-1452/credits'],"['Medieval', 'Territory Building']","['Area Majority / Influence', 'Dice Rolling']",[]
6,['https://boardgamegeek.com/boardgame/153002/koboldbande/credits'],"[""Children's Game"", 'Fantasy', 'Maze']","['Cooperative Game', 'Network and Route Building', 'Tile Placement']","['Creatures: Dragons', 'Creatures: Goblins']"
7,['https://boardgamegeek.com/boardgame/17235/mago-magino/credits'],"[""Children's Game"", 'Fantasy']",['Roll / Spin and Move'],[]
8,['https://boardgamegeek.com/boardgame/127883/colonies/credits'],"['Civilization', 'Economic', 'Political', 'Science Fiction']","['Trading', 'Voting']",[]
9,['https://boardgamegeek.com/boardgame/865/landslide/credits'],['Political'],"['Auction/Bidding', 'Roll / Spin and Move']",['Theme: Elections']
10,['https://boardgamegeek.com/boardgame/3568/stage-ii/credits'],"['Deduction', 'Party Game', 'Trivia']",['Betting and Bluffing'],[]
11,['https://boardgamegeek.com/boardgame/266266/detective-stories-fall-2-antarktis-fatale/credits'],"['Adventure', 'Mafia', 'Murder/Mystery', 'Party Game', 'Puzzle', 'Spies/Secret Agents']","['Cooperative Game', 'Storytelling', 'Team-Based Game']","['Escape Room Games', 'Murder Mystery Evening', 'Series: Detective Stories (iDventure)', 'Series: Murder Mystery Party (University Games)', 'Theme: Mystery / Crime']"
12,['https://boardgamegeek.com/boardgame/42255/kaisers-war-world-war-i-1918-19/credits'],"['Wargame', 'World War I']","['Dice Rolling', 'Hexagon Grid']","['Continents: Europe', 'Magazine: Strategy & Tactics']"
13,['https://boardgamegeek.com/boardgame/270227/oh-fox/credits'],"['Animals', 'Bluffing', 'Deduction']","['Hidden Movement', 'Hidden Roles', 'Secret Unit Deployment', 'Simultaneous Action Selection', 'Variable Player Powers']",[]
14,['https://boardgamegeek.com/boardgame/9619/ex-libris/credits'],"['Bluffing', 'Card Game', 'Party Game', 'Word Game']","['Betting and Bluffing', 'Paper-and-Pencil']",['Theme: Books / Libraries']
15,['https://boardgamegeek.com/boardgame/39663/song-drums-and-shakos/credits'],"['Miniatures', 'Napoleonic', 'Print & Play', 'Wargame']","['Action Points', 'Dice Rolling']",['Song of Blades and Heroes']
16,['https://boardgamegeek.com/boardgame/6980/mission-command-sea/credits'],"['Miniatures', 'Modern Warfare', 'Nautical', 'Wargame']","['Dice Rolling', 'Roll / Spin and Move']",['Mission Command']
17,['https://boardgamegeek.com/boardgame/5752/black-sea-black-death/credits'],"['Wargame', 'World War II']","['Dice Rolling', 'Hexagon Grid', 'Simulation']",['Series: Black Sea * Black Death']
18,['https://boardgamegeek.com/boardgame/185057/lock-n-load-tactical-heroes-against-red-star/credits'],"['Modern Warfare', 'Wargame']","['Dice Rolling', 'Hexagon Grid']","[""Lock 'n Load Tactical""]"
19,['https://boardgamegeek.com/boardgame/35003/zark-city/credits'],"['Abstract Strategy', 'Card Game', 'Territory Building']","['Area Majority / Influence', 'Area-Impulse', 'Modular Board', 'Tile Placement']","['Looney Pyramid Games', 'Series: Zarcana-type']"
20,['https://boardgamegeek.com/boardgame/93563/whitewater/credits'],['Racing'],"['Action Points', 'Betting and Bluffing', 'Dice Rolling', 'Team-Based Game']",[]
21,['https://boardgamegeek.com/boardgame/254135/fortune-city/credits'],['City Building'],"['Network and Route Building', 'Tile Placement']",['Admin: Better Description Needed!']
22,['https://boardgamegeek.com/boardgame/72083/tori/credits'],[],"['Hand Management', 'Simulation', 'Tile Placement']","['Admin: Better Description Needed!', 'Country: Finland']"
23,['https://boardgamegeek.com/boardgame/25312/dampfross-2/credits'],['Trains'],['Crayon Rail System'],['Railway Rivals']
24,['https://boardgamegeek.com/boardgame/177976/cunning-folk/credits'],"['Bluffing', 'Card Game', 'Deduction']","['Memory', 'Player Elimination', 'Push Your Luck', 'Secret Unit Deployment']","['Crowdfunding: Kickstarter', 'Series: Pocket Games series (Kozak Games)', 'Series: Wallet Games (Button Shy)']"
25,['https://boardgamegeek.com/boardgame/6045/i-am-spartacus/credits'],"['Ancient', 'Wargame']","['Area Movement', 'Simulation']","['Ancient: Rome', 'History: Roman Civil Wars', 'Magazine: Command']"
26,['https://boardgamegeek.com/boardgame/10884/white-bear-red-moon/credits'],"['Fantasy', 'Wargame']","['Area Movement', 'Chit-Pull System', 'Dice Rolling', 'Variable Player Powers']",['Glorantha Board Games']
27,['https://boardgamegeek.com/boardgame/21277/nobody-perfect-2/credits'],"['Bluffing', 'Educational', 'Humor', 'Party Game', 'Trivia', 'Word Game']",[],"['Nobody is Perfect', 'Traditional Games: Dictionary']"
28,['https://boardgamegeek.com/boardgame/173269/aquarium/credits'],"['City Building', 'Nautical', 'Science Fiction']","['Hand Management', 'Point to Point Movement', 'Role Playing']",['Series: Numbered Series (MS Jogos)']
29,['https://boardgamegeek.com/boardgame/295564/unmatched-game-system/credits'],"['Fighting', 'Miniatures']",['Card Play Conflict Resolution'],"['Admin: Game System Entries', 'Unmatched']"
30,['https://boardgamegeek.com/boardgame/90050/eleminis/credits'],"['Card Game', ""Children's Game"", 'Party Game']","['Hand Management', 'Set Collection', 'Take That']",[]
31,['https://boardgamegeek.com/boardgame/274429/queen-hansa/credits'],"['Card Game', 'Medieval']","['Card Drafting', 'Hand Management', 'Set Collection']",['Admin: Better Description Needed!']
32,['https://boardgamegeek.com/boardgame/286158/dei-divide-et-impera/credits'],"['Farming', 'Miniatures', 'Science Fiction']","['Area Majority / Influence', 'Area Movement', 'Card Drafting', 'Hand Management', 'Modular Board', 'Worker Placement']","['Admin: Unreleased Games', 'Crowdfunding: Kickstarter', 'Nova Aetas Chronicles', 'Sine Tempore']"
33,['https://boardgamegeek.com/boardgame/1578/roadkill/credits'],"['Card Game', 'Fighting', 'Racing', 'Science Fiction']","['Campaign / Battle Card Driven', 'Hand Management', 'Modular Board']",[]
