,url,category,mechanic,family
0,['https://boardgamegeek.com/boardgame/164236/witch-hunt/credits'],"['Deduction', 'Print & Play']",['Variable Player Powers'],"['Crowdfunding: Kickstarter', 'Game: Werewolf / Mafia', 'Level 99 Small Box Games', 'Theme: Witches']"
1,['https://boardgamegeek.com/boardgame/180977/magecraft/credits'],['Fantasy'],"['Deck, Bag, and Pool Building', 'Hand Management', 'Team-Based Game']",['Crowdfunding: Kickstarter']
2,['https://boardgamegeek.com/boardgame/3562/theophrastus/credits'],"['Card Game', 'Renaissance']","['Action Points', 'Set Collection']",[]
3,['https://boardgamegeek.com/boardgame/19212/island-d-2-shadow-dawn/credits'],"['Adventure', 'Card Game', 'Exploration', 'Fantasy', 'Print & Play']","['Hand Management', 'Modular Board']","['Players: Games with Solitaire Rules', 'Players: Solitaire Only Games', 'Series: D (JD Games)']"
4,['https://boardgamegeek.com/boardgame/189506/fallen-angel/credits'],"['Dice', 'Fantasy']","['Area Majority / Influence', 'Dice Rolling', 'Worker Placement']",['Crowdfunding: Kickstarter']
5,['https://boardgamegeek.com/boardgame/6641/desert-steel/credits'],"['Wargame', 'World War II']",['Hexagon Grid'],['Series: Tank Leader (West End Games)']
6,['https://boardgamegeek.com/boardgame/193725/blood-plunder/credits'],"['Miniatures', 'Pirates', 'Wargame']",['Action Queue'],['Crowdfunding: Kickstarter']
7,['https://boardgamegeek.com/boardgame/158791/dodekka/credits'],['Card Game'],"['Hand Management', 'Push Your Luck', 'Set Collection']",[]
8,['https://boardgamegeek.com/boardgame/164448/ninja-all-stars/credits'],"['Adventure', 'Collectible Components', 'Fantasy', 'Fighting', 'Humor', 'Miniatures', 'Sports', 'Video Game Theme']","['Dice Rolling', 'Grid Movement']","['Admin: Better Description Needed!', 'Crowdfunding: Kickstarter', 'Theme: Chibis', 'Theme: Ninjas']"
9,['https://boardgamegeek.com/boardgame/29382/rock-marne/credits'],"['Wargame', 'World War I']","['Dice Rolling', 'Hexagon Grid', 'Simulation']",['Series: Standard Combat (MMP)']
10,['https://boardgamegeek.com/boardgame/200351/pinball-showdown/credits'],['Card Game'],"['Auction/Bidding', 'Set Collection']",['Crowdfunding: Kickstarter']
11,['https://boardgamegeek.com/boardgame/43245/caesars-gallic-war/credits'],"['Ancient', 'Wargame']","['Area Movement', 'Area-Impulse', 'Dice Rolling', 'Secret Unit Deployment', 'Simulation', 'Simultaneous Action Selection']","['Ancient: Rome', 'Components: Block wargames', 'History: Gallic Wars', 'Players: Two Player Only Games']"
12,['https://boardgamegeek.com/boardgame/19081/skyline-world/credits'],['City Building'],[],['Components: 3-Dimensional (3D)']
13,['https://boardgamegeek.com/boardgame/181956/romisch-pokern/credits'],"['Dice', 'Math']","['Dice Rolling', 'Push Your Luck']",['Mechanic: Roll-and-write']
14,['https://boardgamegeek.com/boardgame/38870/pensacola/credits'],"['Age of Reason', 'American Revolutionary War', 'Wargame']",['Hexagon Grid'],"['Country: Spain', 'Country: United Kingdom', 'Country: USA', 'Series: Battles of the American Revolution (GMT)']"
15,['https://boardgamegeek.com/boardgame/265113/escape-dysturbia-morderischer-maskenball/credits'],"['Deduction', 'Puzzle', 'Real-time']",['Cooperative Game'],['Escape Room Games']
16,['https://boardgamegeek.com/boardgame/7748/italian-front-1915-1918/credits'],"['Wargame', 'World War I']","['Dice Rolling', 'Hexagon Grid']","['Country: Italy', 'Series: Der Weltkrieg']"
17,['https://boardgamegeek.com/boardgame/210113/tank-chess/credits'],['Abstract Strategy'],"['Grid Movement', 'Line of Sight', 'Movement Points', 'Scenario / Mission / Campaign Game', 'Square Grid', 'Variable Setup']","['Crowdfunding: Kickstarter', 'Mechanic: Combinatorial', 'Traditional Games: Chess']"
18,['https://boardgamegeek.com/boardgame/28944/harzbahn-1873/credits'],"['Economic', 'Industry / Manufacturing', 'Trains', 'Transportation']","['Auction/Bidding', 'Network and Route Building', 'Stock Holding', 'Tile Placement']","['Country: Germany', 'Series: 18xx']"
19,['https://boardgamegeek.com/boardgame/234373/kingdom-run/credits'],"['Animals', ""Children's Game"", 'Dice', 'Fantasy', 'Racing']","['Action Queue', 'Dice Rolling', 'Modular Board']",[]
20,['https://boardgamegeek.com/boardgame/153481/cherry-picking/credits'],['Card Game'],"['Set Collection', 'Simultaneous Action Selection']",[]
21,['https://boardgamegeek.com/boardgame/98739/byzantio/credits'],"['Bluffing', 'Deduction', 'Fantasy', 'Medieval']","['Area Majority / Influence', 'Area Movement', 'Dice Rolling', 'Paper-and-Pencil', 'Secret Unit Deployment']","['Country: Greece', 'Crowdfunding: Kickstarter', 'History: Byzantium']"
22,['https://boardgamegeek.com/boardgame/214758/n-napoleonic-wars/credits'],"['Napoleonic', 'Wargame']","['Area Majority / Influence', 'Area Movement', 'Chit-Pull System', 'Dice Rolling', 'Solo / Solitaire Game']","['Players: Games with Solitaire Rules', 'Players: Solitaire Only Wargames', 'Players: Wargames with Solitaire Rules', 'Series: Solitaire (White Dog Games)']"
23,['https://boardgamegeek.com/boardgame/173291/spit-it-out/credits'],['Party Game'],[],['Admin: Better Description Needed!']
24,['https://boardgamegeek.com/boardgame/14042/team-work-original/credits'],"['Card Game', 'Humor', 'Party Game', 'Word Game']","['Cooperative Game', 'Storytelling', 'Team-Based Game']",['Series: Team Work (Adlung-Spiele)']
25,['https://boardgamegeek.com/boardgame/195742/godfather-new-don/credits'],"['Dice', 'Mafia']","['Area Majority / Influence', 'Dice Rolling']","['Cities: New York (New York, USA)', 'Organizations: The Game Artisans of Canada']"
26,['https://boardgamegeek.com/boardgame/182541/rorys-story-cubes-batman/credits'],['Dice'],"['Cooperative Game', 'Dice Rolling', 'Pattern Recognition', 'Storytelling']","['Comic Books: Batman', 'Comic Books: DC Universe', ""SeGameies: Rory's Story Cubes""]"
27,['https://boardgamegeek.com/boardgame/38707/bushido-der-weg-des-kriegers/credits'],"['Bluffing', 'Fighting', 'Medieval', 'Political']","['Hand Management', 'Modular Board', 'Rock-Paper-Scissors', 'Role Playing', 'Simultaneous Action Selection', 'Variable Player Powers']","['Continents: Asia', 'Country: Japan']"
28,['https://boardgamegeek.com/boardgame/246696/monster-match/credits'],"[""Children's Game"", 'Party Game', 'Real-time']","['Dice Rolling', 'Pattern Recognition']",['Series: Happy Planet (North Star Games)']
29,['https://boardgamegeek.com/boardgame/271044/undo-cherry-blossom-festival/credits'],"['Adventure', 'Card Game', 'Deduction', 'Murder/Mystery']","['Cooperative Game', 'Storytelling']","['Cities: Osaka (Japan)', 'Country: Japan', 'Series: Undo (Pegasus Spiele)', 'Theme: Time Travel']"
30,['https://boardgamegeek.com/boardgame/24078/lightning-north-africa/credits'],"['Card Game', 'Wargame', 'World War II']","['Hand Management', 'Simulation']",['Series: Lightning (Dan Verssen)']
31,['https://boardgamegeek.com/boardgame/130357/go-first-dice/credits'],['Dice'],['Dice Rolling'],[]
32,['https://boardgamegeek.com/boardgame/284777/unmatched-jurassic-park-ingen-vs-raptors/credits'],"['Card Game', 'Fantasy', 'Fighting', 'Miniatures', 'Movies / TV / Radio theme']","['Area Movement', 'Hand Management', 'Variable Player Powers']","['Animals: Dinosaurs', 'Movies: Jurassic Park', 'Unmatched']"
33,['https://boardgamegeek.com/boardgame/590/mille-bornes/credits'],"['Card Game', 'Racing']","['Hand Management', 'Take That', 'Team-Based Game']","['Comic Books: Asterix', 'Comic Books: Tintin', 'Mille Bornes', 'Movies: Cars']"
34,['https://boardgamegeek.com/boardgame/244082/outback/credits'],"['Animals', 'Dice']","['Dice Rolling', 'Pattern Building', 'Set Collection', 'Tile Placement']","['Animals: Emus', 'Animals: Kangaroos', 'Animals: Koalas', 'Animals: Lizards', 'Country: Australia']"
35,['https://boardgamegeek.com/boardgame/231624/exploriana/credits'],"['Animals', 'Exploration']","['Card Drafting', 'Push Your Luck', 'Set Collection', 'Worker Placement']","['Admin: Unreleased Games', 'Crowdfunding: Kickstarter']"
36,['https://boardgamegeek.com/boardgame/593/favoriten/credits'],['Racing'],['Betting and Bluffing'],['Sports: Horse Racing']
37,['https://boardgamegeek.com/boardgame/204466/dark-night/credits'],"['Adventure', 'Bluffing', 'Deduction', 'Fantasy', 'Horror', 'Memory', 'Miniatures']","['Grid Movement', 'Memory', 'Secret Unit Deployment', 'Time Track', 'Variable Player Powers']","['Crowdfunding: Kickstarter', 'Crowdfunding: Spieleschmiede']"
38,['https://boardgamegeek.com/boardgame/220926/rick-and-morty-anatomy-park-game/credits'],"['City Building', 'Dice', 'Mature / Adult', 'Movies / TV / Radio theme']","['Acting', 'Grid Movement', 'Hand Management', 'Modular Board', 'Tile Placement']",['TV Series: Rick and Morty']
39,['https://boardgamegeek.com/boardgame/741/trajan/credits'],"['Ancient', 'Wargame']","['Dice Rolling', 'Hexagon Grid']","['Ancient: Rome', 'History: Roman Empire', 'Magazine: Strategy & Tactics', 'Series: Ancient Wars (Strategy and Tactics)']"
40,['https://boardgamegeek.com/boardgame/196105/speechless/credits'],['Party Game'],['Acting'],['Series: Dice Tower Essentials']
41,['https://boardgamegeek.com/boardgame/232981/tanto-cuore-winter-romance/credits'],['Card Game'],"['Deck, Bag, and Pool Building']","['Country: Japan', 'Series: Tanto Cuore', 'Theme: Anime / Manga']"
42,['https://boardgamegeek.com/boardgame/149639/noble-treachery-last-alliance/credits'],"['Card Game', 'Dice', 'Fantasy', 'Medieval']","['Betting and Bluffing', 'Dice Rolling', 'Hand Management', 'Set Collection', 'Trick-taking']",['Crowdfunding: Kickstarter']
43,['https://boardgamegeek.com/boardgame/2994/guderians-blitzkrieg-drive-moscow-september-21th-d/credits'],"['Wargame', 'World War II']","['Hexagon Grid', 'Zone of Control']",['Series: Operational Combat (MMP)']
44,['https://boardgamegeek.com/boardgame/127324/storm-hollow-storyboard-game/credits'],"['Adventure', 'Dice', 'Fantasy', 'Mythology']","['Cooperative Game', 'Dice Rolling', 'Role Playing', 'Storytelling', 'Variable Player Powers']",['Crowdfunding: Kickstarter']
45,['https://boardgamegeek.com/boardgame/153815/ghosts-love-candy/credits'],['Card Game'],"['Hand Management', 'Set Collection', 'Variable Player Powers']","['Creatures: Ghosts', 'Crowdfunding: Kickstarter', 'Holidays: Halloween']"
46,['https://boardgamegeek.com/boardgame/226312/button-men-beat-people/credits'],['Dice'],"['Dice Rolling', 'Variable Player Powers']",[]
47,['https://boardgamegeek.com/boardgame/46614/nonaga/credits'],['Abstract Strategy'],"['Area Movement', 'Pattern Building']",['Mechanic: Combinatorial']
48,['https://boardgamegeek.com/boardgame/247191/ya-blew-it/credits'],['Dice'],"['Dice Rolling', 'Push Your Luck', 'Set Collection']",[]
49,['https://boardgamegeek.com/boardgame/214898/gloom-space/credits'],"['Card Game', 'Horror', 'Humor', 'Science Fiction']","['Hand Management', 'Storytelling', 'Take That']",['Game: Gloom']
50,['https://boardgamegeek.com/boardgame/205961/travelin/credits'],['Travel'],"['Hand Management', 'Point to Point Movement', 'Take That']",[]
51,['https://boardgamegeek.com/boardgame/4364/gaines-mill/credits'],"['American Civil War', 'Wargame']",['Hexagon Grid'],"['Series: Civil War, Brigade (The Gamers)']"
52,['https://boardgamegeek.com/boardgame/21503/spqrisiko/credits'],"['Ancient', 'Dice', 'Wargame']","['Area Movement', 'Dice Rolling']","['Ancient: Rome', 'Game: RisiKo!', 'Game: Risk']"
53,['https://boardgamegeek.com/boardgame/172596/monster-my-neighbor/credits'],"['Bluffing', 'Card Game', 'Deduction']",['Hand Management'],"['Admin: Better Description Needed!', 'Creatures: Monsters', 'Series: Deluxe card game (Z-Man / Filosofia)']"
54,['https://boardgamegeek.com/boardgame/2881/panzer-grenadier/credits'],"['Wargame', 'World War II']","['Dice Rolling', 'Hexagon Grid', 'Secret Unit Deployment', 'Simulation']",['Series: Panzer Grenadier (Avalanche)']
55,['https://boardgamegeek.com/boardgame/22684/race-wind/credits'],"['Nautical', 'Racing', 'Sports']",['Simulation'],['Sports: Sailing']
56,['https://boardgamegeek.com/boardgame/3818/alias/credits'],"['Party Game', 'Racing', 'Trivia', 'Word Game']","['Acting', 'Point to Point Movement', 'Team-Based Game']","['Country: Finland', 'Game: Alias']"
57,['https://boardgamegeek.com/boardgame/226860/battle-kittens/credits'],['Card Game'],['Card Drafting'],[]
