,url,category,mechanic,family
0,['https://boardgamegeek.com/boardgame/82402/friesematenten/credits'],"['Card Game', 'Economic', 'Humor', 'Industry / Manufacturing']",['Auction/Bidding'],[]
1,['https://boardgamegeek.com/boardgame/71668/after-pablo/credits'],"['Economic', 'Fighting', 'Mafia']","['Area Majority / Influence', 'Hand Management']","['Admin: Better Description Needed!', 'Country: Colombia']"
2,['https://boardgamegeek.com/boardgame/228390/sunflower-valley/credits'],"['City Building', 'Dice', 'Farming', 'Trains', 'Transportation']","['Area Majority / Influence', 'Dice Rolling', 'Line Drawing', 'Network and Route Building', 'Paper-and-Pencil']","['Mechanic: Drawing', 'Mechanic: Roll-and-write']"
3,['https://boardgamegeek.com/boardgame/246742/chateau-aventure/credits'],"['Adventure', 'Book', 'Fantasy', 'Horror', 'Medieval', 'Science Fiction']","['Cooperative Game', 'Role Playing', 'Storytelling']",[]
4,['https://boardgamegeek.com/boardgame/34639/dungeon-d/credits'],"['Adventure', 'Card Game', 'Exploration', 'Fantasy', 'Print & Play']","['Hand Management', 'Modular Board', 'Role Playing', 'Solo / Solitaire Game', 'Variable Player Powers']","['Dungeon Crawler', 'Players: Games with Solitaire Rules', 'Players: Solitaire Only Games', 'Series: D (JD Games)']"
5,['https://boardgamegeek.com/boardgame/13403/three-battles-manassas/credits'],"['American Civil War', 'Wargame']",['Hexagon Grid'],"['Series: Civil War, Brigade (The Gamers)']"
6,['https://boardgamegeek.com/boardgame/181393/brass-empire/credits'],"['Card Game', 'Economic', 'Industry / Manufacturing']","['Card Drafting', 'Deck, Bag, and Pool Building']","['Crowdfunding: Kickstarter', 'Game: Brass Empire', 'Theme: Steampunk']"
7,['https://boardgamegeek.com/boardgame/1668/modern-naval-battles/credits'],"['Card Game', 'Modern Warfare', 'Nautical', 'Print & Play', 'Wargame']","['Dice Rolling', 'Hand Management', 'Take That']","['History: Cold War', 'Naval Battles']"
8,['https://boardgamegeek.com/boardgame/62814/tumblin-dice-medium/credits'],"['Action / Dexterity', 'Dice']",['Dice Rolling'],['Mechanic: Finger Flicking Games']
9,['https://boardgamegeek.com/boardgame/13266/three-days-gettysburg-third-edition/credits'],"['American Civil War', 'Wargame']","['Chit-Pull System', 'Hexagon Grid']",['Series: Great Battles of the American Civil War (Richard H. Berg)']
