,url,category,mechanic,family
0,['https://boardgamegeek.com/boardgame/68876/boots-ground/credits'],"['Modern Warfare', 'Wargame']","['Campaign / Battle Card Driven', 'Grid Movement']","['Players: Games with Solitaire Rules', 'Players: Wargames with Solitaire Rules']"
1,['https://boardgamegeek.com/boardgame/88950/palenque/credits'],"['Abstract Strategy', 'Ancient', 'Territory Building']","['Action Points', 'Area Majority / Influence', 'Card Drafting', 'Enclosure', 'Grid Movement', 'Hand Management']",['Country: Mexico']
2,['https://boardgamegeek.com/boardgame/153870/green-deal/credits'],"['Bluffing', 'Economic', 'Educational', 'Environmental', 'Political']","['Area Majority / Influence', 'Auction/Bidding', 'Simulation', 'Simultaneous Action Selection', 'Tile Placement']",['Crowdfunding: Startnext']
3,['https://boardgamegeek.com/boardgame/27719/trapper/credits'],['Exploration'],['Set Collection'],[]
4,['https://boardgamegeek.com/boardgame/1919/d-day-3rd-edition/credits'],"['Wargame', 'World War II']",['Hexagon Grid'],['Country: France']
5,['https://boardgamegeek.com/boardgame/169102/slaughterville/credits'],"['Adventure', 'Horror']","['Action Points', 'Cooperative Game', 'Dice Rolling']",['Crowdfunding: Kickstarter']
6,['https://boardgamegeek.com/boardgame/149621/suspense-card-game/credits'],"['Bluffing', 'Card Game', 'Deduction', 'Horror', 'Movies / TV / Radio theme']","['Hand Management', 'Push Your Luck']",[]
7,['https://boardgamegeek.com/boardgame/257834/ramen/credits'],['Card Game'],"['Auction/Bidding', 'Hand Management', 'Set Collection', 'Trick-taking']","['Continents: Asia', 'Country: Japan', 'Theme: Food / Cooking']"
8,['https://boardgamegeek.com/boardgame/69318/perpetual-motion-machine/credits'],"['Card Game', 'Industry / Manufacturing']","['Hand Management', 'Set Collection']",[]
9,['https://boardgamegeek.com/boardgame/40800/miss-poutine/credits'],"['Card Game', 'Real-time']",['Set Collection'],['Theme: Food / Cooking']
10,['https://boardgamegeek.com/boardgame/75890/spartacus-imperator/credits'],"['Ancient', 'Civil War', 'Pirates', 'Wargame']","['Action Points', 'Area Movement', 'Dice Rolling', 'Secret Unit Deployment', 'Simulation']","['Ancient: Rome', 'History: Roman Civil Wars']"
11,['https://boardgamegeek.com/boardgame/41123/pirate-versus-pirate/credits'],"['Abstract Strategy', 'Pirates']","['Dice Rolling', 'Pick-up and Deliver', 'Player Elimination', 'Roll / Spin and Move']",['Mensa Select']
12,['https://boardgamegeek.com/boardgame/9200/heroes-incorporated/credits'],['Comic Book / Strip'],"['Dice Rolling', 'Role Playing', 'Variable Player Powers']",['Theme: Superheroes']
13,['https://boardgamegeek.com/boardgame/204592/mysterious-forest/credits'],"[""Children's Game"", 'Comic Book / Strip', 'Dice', 'Exploration', 'Fantasy', 'Memory']","['Cooperative Game', 'Dice Rolling', 'Memory']",[]
14,['https://boardgamegeek.com/boardgame/108737/air-show/credits'],['Aviation / Flight'],"['Auction/Bidding', 'Set Collection']",[]
15,['https://boardgamegeek.com/boardgame/287693/anubixx/credits'],[],"['Dice Rolling', 'Paper-and-Pencil']","['Country: Egypt', 'Mechanic: Roll-and-write']"
16,['https://boardgamegeek.com/boardgame/179280/trivial-pursuit-world-harry-potter/credits'],"['Movies / TV / Radio theme', 'Novel-based', 'Trivia']",['Dice Rolling'],"['Books: Harry Potter', 'Game: Trivial Pursuit']"
17,['https://boardgamegeek.com/boardgame/148007/spoiled-victory-dunkirk-1940/credits'],"['Print & Play', 'Wargame', 'World War II']","['Action Points', 'Point to Point Movement']","['Cities: Dunkirk (France)', 'Players: Games with Solitaire Rules', 'Players: Solitaire Only Wargames', 'Players: Wargames with Solitaire Rules', 'Series: Solitaire (White Dog Games)']"
18,['https://boardgamegeek.com/boardgame/12325/perpetual-commotion/credits'],"['Card Game', 'Real-time']","['Hand Management', 'Pattern Building']",['Perpetual Commotion']
