,url,category,mechanic,family
0,['https://boardgamegeek.com/boardgame/3036/kung-fu-2100/credits'],"['Fighting', 'Science Fiction']",['Variable Player Powers'],"['Magazine: Space Gamer', 'Sports: Combat Sports / Martial Arts', 'Steve Jackson Games Pocket Box']"
1,['https://boardgamegeek.com/boardgame/88147/adaman/credits'],"['Card Game', 'Print & Play']",['Hand Management'],"['Players: Solitaire Only Games', 'Series: Decktet Games', 'Series: The Juan Line (Grail Game)']"
2,['https://boardgamegeek.com/boardgame/17765/blam/credits'],['Abstract Strategy'],['Area Movement'],"['Looney Pyramid Games', 'Mechanic: Combinatorial']"
3,['https://boardgamegeek.com/boardgame/264797/kushi-express/credits'],"['Action / Dexterity', 'Real-time']",['Pattern Building'],['Theme: Food / Cooking']
4,['https://boardgamegeek.com/boardgame/36604/basic-impetus/credits'],"['Ancient', 'Book', 'Medieval', 'Miniatures', 'Renaissance', 'Wargame']",[],[]
5,['https://boardgamegeek.com/boardgame/294233/fafnir/credits'],[],['Auction/Bidding'],[]
6,['https://boardgamegeek.com/boardgame/223573/supervillain-galaxy-mine/credits'],"['Card Game', 'Science Fiction']","['Area Majority / Influence', 'Hand Management']",[]
7,['https://boardgamegeek.com/boardgame/116402/sheep-dogs-and-wolves/credits'],"['Abstract Strategy', 'Animals', ""Children's Game""]",['Tile Placement'],"['Animals: Dogs', 'Animals: Sheep', 'Animals: Wolves', 'Mechanic: Combinatorial']"
8,['https://boardgamegeek.com/boardgame/22227/no-prisoners-campaigns-lawrence-arabia-1915-1918/credits'],"['Wargame', 'World War I']",['Hexagon Grid'],"['History: Arab Revolt', 'Magazine: Strategy & Tactics']"
9,['https://boardgamegeek.com/boardgame/182198/superfight-anime-deck/credits'],"['Card Game', 'Comic Book / Strip', 'Fighting', 'Humor', 'Party Game', 'Science Fiction']","['Storytelling', 'Variable Player Powers', 'Voting']",['Theme: Anime / Manga']
10,['https://boardgamegeek.com/boardgame/215155/space-infantry-resurgence/credits'],"['Science Fiction', 'Wargame']","['Dice Rolling', 'Modular Board']","['Players: Games with Solitaire Rules', 'Players: Wargames with Solitaire Rules']"
11,['https://boardgamegeek.com/boardgame/179912/gladiator-quest-rudis/credits'],"['Ancient', 'Card Game', 'Fighting', 'Miniatures', 'Sports']","['Hexagon Grid', 'Simulation']","['Crowdfunding: Kickstarter', 'Theme: Gladiators']"
12,['https://boardgamegeek.com/boardgame/37633/lightning-poland/credits'],"['Card Game', 'Wargame', 'World War II']",['Hand Management'],"['Country: Poland', 'Series: Lightning (Dan Verssen)']"
13,['https://boardgamegeek.com/boardgame/71889/third-and-long-football-card-game/credits'],"['Card Game', 'Sports']","['Hand Management', 'Simulation', 'Simultaneous Action Selection']",['Sports: American Football / Gridiron']
14,['https://boardgamegeek.com/boardgame/158267/double-feature/credits'],"['Party Game', 'Trivia']",[],[]
15,['https://boardgamegeek.com/boardgame/247029/sojourn/credits'],['Science Fiction'],"['Action Queue', 'Solo / Solitaire Game']","['Crowdfunding: Kickstarter', 'Players: Games with Solitaire Rules', 'Players: Solitaire Only Games', 'Theme: Time Travel']"
16,['https://boardgamegeek.com/boardgame/249166/zoned-out/credits'],['City Building'],"['Area Majority / Influence', 'Tile Placement']",['Admin: Unreleased Games']
