,url,category,mechanic,family
0,['https://boardgamegeek.com/boardgame/14383/wonders-world/credits'],"['Educational', 'Travel', 'Trivia']","['Dice Rolling', 'Point to Point Movement', 'Roll / Spin and Move']",[]
1,['https://boardgamegeek.com/boardgame/5116/kreskins-esp/credits'],['Party Game'],[],['Theme: Psychic Powers']
2,['https://boardgamegeek.com/boardgame/27443/baccarat/credits'],"['Bluffing', 'Card Game', 'Math', 'Number']",['Betting and Bluffing'],['Components: Traditional Playing Cards']
3,['https://boardgamegeek.com/boardgame/136609/jenga-boom/credits'],['Action / Dexterity'],[],['Jenga']
4,['https://boardgamegeek.com/boardgame/11737/curious-george-match-balloon-game/credits'],"[""Children's Game"", 'Dice']","['Dice Rolling', 'Pattern Recognition', 'Set Collection']","['Animals: Apes / Monkeys', 'Books: Curious George']"
5,['https://boardgamegeek.com/boardgame/66459/mad-zeppelin/credits'],"['Aviation / Flight', 'Card Game']","['Card Drafting', 'Dice Rolling', 'Variable Player Powers']","['Series: Fantasy Flight Silver Line', 'Theme: Steampunk']"
6,['https://boardgamegeek.com/boardgame/3758/triopoly/credits'],['Economic'],"['Modular Board', 'Roll / Spin and Move', 'Set Collection', 'Stock Holding', 'Trading']",['Monopoly']
7,['https://boardgamegeek.com/boardgame/7314/mystery-date/credits'],"[""Children's Game"", 'Electronic', 'Movies / TV / Radio theme']","['Roll / Spin and Move', 'Set Collection']","['Brands: Disney', 'Movies: High School Musical']"
8,['https://boardgamegeek.com/boardgame/17597/suomi-tietopeli/credits'],['Trivia'],['Set Collection'],"['Country: Finland', 'Series: Country Trivia (Tactic)']"
9,['https://boardgamegeek.com/boardgame/9938/smath/credits'],"['Educational', 'Math']",['Tile Placement'],[]
10,['https://boardgamegeek.com/boardgame/9540/advanced-dungeons-dragons-trivia-game/credits'],"['Fantasy', 'Memory', 'Trivia']","['Cooperative Game', 'Memory']",['Dungeons & Dragons']
11,['https://boardgamegeek.com/boardgame/32161/wypas/credits'],"['Card Game', 'Humor', 'Party Game']","['Auction/Bidding', 'Card Drafting', 'Hand Management']",[]
12,['https://boardgamegeek.com/boardgame/17820/monopoly-60th-anniversary-edition-1935-1995/credits'],"['Economic', 'Negotiation']","['Auction/Bidding', 'Player Elimination', 'Roll / Spin and Move', 'Stock Holding', 'Trading']",['Monopoly']
13,['https://boardgamegeek.com/boardgame/629/q-turn/credits'],"['Abstract Strategy', 'Puzzle']",['Modular Board'],['Containers: Tubes']
14,['https://boardgamegeek.com/boardgame/193141/game-life-junior/credits'],"[""Children's Game""]",['Roll / Spin and Move'],"['Game: Game of Life', 'Versions & Editions: Junior Versions of Grown-Up Games']"
