,url,category,mechanic,family
0,['https://boardgamegeek.com/boardgame/31820/festival/credits'],['Card Game'],['Card Drafting'],['Theme: Anime / Manga']
1,['https://boardgamegeek.com/boardgame/13072/airways/credits'],"['Aviation / Flight', 'Transportation', 'Travel']",['Pick-up and Deliver'],[]
2,['https://boardgamegeek.com/boardgame/6153/crisis-2000/credits'],"['Modern Warfare', 'Wargame']",['Area Movement'],['Magazine: Gamefix']
3,['https://boardgamegeek.com/boardgame/10459/tiltn-tumble/credits'],"['Abstract Strategy', 'Action / Dexterity']","['Pick-up and Deliver', 'Roll / Spin and Move', 'Tile Placement']",[]
4,['https://boardgamegeek.com/boardgame/252374/frenetic/credits'],"['Educational', 'Party Game', 'Real-time', 'Word Game']",['Tile Placement'],[]
5,['https://boardgamegeek.com/boardgame/15877/abbeville-1940/credits'],"['Wargame', 'World War II']",['Hexagon Grid'],['Magazine: Vae Victis']
6,['https://boardgamegeek.com/boardgame/7802/tank-commander-eastern-front/credits'],"['Card Game', 'Collectible Components', 'Wargame', 'World War II']",['Area Movement'],['CCGs (Collectible Card Games)']
7,['https://boardgamegeek.com/boardgame/10917/dont-quote-me/credits'],"['Memory', 'Party Game', 'Trivia']",['Memory'],"[""Game: Don't Quote Me""]"
8,['https://boardgamegeek.com/boardgame/8497/torches-pitchforks/credits'],"['Card Game', 'Fighting', 'Horror', 'Humor', 'Movies / TV / Radio theme']","['Dice Rolling', 'Hand Management']",[]
9,['https://boardgamegeek.com/boardgame/145632/nfl-game-day/credits'],['Sports'],['Hand Management'],['Sports: American Football / Gridiron']
10,['https://boardgamegeek.com/boardgame/1397/crash-pilot/credits'],"['Aviation / Flight', ""Children's Game"", 'Real-time']",['Pattern Recognition'],['Theme: Food / Cooking']
11,['https://boardgamegeek.com/boardgame/22799/legie/credits'],"['Abstract Strategy', 'Medieval']","['Enclosure', 'Modular Board', 'Tile Placement']",[]
12,['https://boardgamegeek.com/boardgame/1617/icebergs/credits'],"['Nautical', 'Racing', 'Transportation']",['Roll / Spin and Move'],"['Region: Arctic', 'Series: Minigames (TSR)']"
13,['https://boardgamegeek.com/boardgame/604/verrat/credits'],"['Arabian', 'Political']","['Secret Unit Deployment', 'Set Collection', 'Simultaneous Action Selection']",[]
14,['https://boardgamegeek.com/boardgame/148211/sexy-el-juego-del-arte-del-flirteo/credits'],"['Card Game', 'Humor', 'Mature / Adult']","['Hand Management', 'Simulation', 'Variable Player Powers']","['Crowdfunding: Verkami', 'Organizations: Board Games Association of Creators in Spain (LUDO)']"
15,['https://boardgamegeek.com/boardgame/188493/sequence-cats/credits'],['Animals'],['Pattern Building'],"['Animals: Cats', 'Game: Sequence']"
16,['https://boardgamegeek.com/boardgame/36234/michelangelo/credits'],"['Political', 'Renaissance']",[],[]
17,['https://boardgamegeek.com/boardgame/2867/baton-races-yaz/credits'],"['Fantasy', 'Racing']",['Hexagon Grid'],['Magazine: Dragon']
18,['https://boardgamegeek.com/boardgame/244951/round-world/credits'],"['Card Game', 'Real-time']","['Hand Management', 'Simultaneous Action Selection']",[]
19,['https://boardgamegeek.com/boardgame/175855/epic-roll/credits'],"['Dice', 'Fantasy', 'Fighting', 'Zombies']","['Dice Rolling', 'Push Your Luck']",[]
20,['https://boardgamegeek.com/boardgame/166371/el-luchador-fantastico-grande/credits'],"['Fighting', 'Sports']","['Dice Rolling', 'Player Elimination', 'Take That']","['Crowdfunding: Kickstarter', 'Sports: Wrestling']"
21,['https://boardgamegeek.com/boardgame/196379/shit-happens/credits'],"['Card Game', 'Party Game']","['Memory', 'Pattern Building']",[]
22,['https://boardgamegeek.com/boardgame/148099/worker-placement/credits'],"['Abstract Strategy', 'Economic']","['Auction/Bidding', 'Card Drafting', 'Hand Management', 'Set Collection', 'Worker Placement']","['Crowdfunding: Kickstarter', 'Self-Referential Games']"
23,['https://boardgamegeek.com/boardgame/66047/fast-lane/credits'],"['Action / Dexterity', 'Animals', ""Children's Game"", 'Real-time']","['Dice Rolling', 'Pattern Recognition']",['Animals: Horses']
24,['https://boardgamegeek.com/boardgame/29694/die-kleine-hexe/credits'],"['Action / Dexterity', ""Children's Game"", 'Fantasy', 'Memory', 'Novel-based']","['Cooperative Game', 'Memory']","['Authors: Otfried Preußler', 'Theme: Witches']"
25,['https://boardgamegeek.com/boardgame/136244/miau/credits'],"[""Children's Game"", 'Real-time']",['Pattern Recognition'],"['Animals: Cats', 'Animals: Mice']"
26,['https://boardgamegeek.com/boardgame/168390/set-schnupperspiel/credits'],"['Card Game', 'Puzzle', 'Real-time', 'Travel']","['Pattern Recognition', 'Set Collection']",['Game: Set']
27,['https://boardgamegeek.com/boardgame/4402/bayon/credits'],"['Adventure', 'Card Game', 'Economic', 'Exploration']","['Card Drafting', 'Set Collection']",['Country: Cambodia']
28,['https://boardgamegeek.com/boardgame/7256/digit/credits'],['Card Game'],"['Hand Management', 'Pattern Building', 'Pattern Recognition']",[]
29,['https://boardgamegeek.com/boardgame/6395/combat/credits'],"['Abstract Strategy', 'Movies / TV / Radio theme', 'Wargame', 'World War II']","['Acting', 'Modular Board', 'Point to Point Movement']",[]
30,['https://boardgamegeek.com/boardgame/119316/united-square/credits'],['Abstract Strategy'],['Tile Placement'],['Components: 5 x 5 Grid']
31,['https://boardgamegeek.com/boardgame/9471/crazy-bugs/credits'],"['Action / Dexterity', 'Animals', ""Children's Game""]","['Cooperative Game', 'Pick-up and Deliver', 'Simultaneous Action Selection']","['Animals: Bees', 'Components: Marbles']"
32,['https://boardgamegeek.com/boardgame/15991/jenga-casino/credits'],"['Action / Dexterity', 'Party Game']",[],['Jenga']
33,['https://boardgamegeek.com/boardgame/148534/sauschwer/credits'],"['Bluffing', 'Party Game', 'Trivia']",['Betting and Bluffing'],[]
34,['https://boardgamegeek.com/boardgame/93271/convocados/credits'],"['Card Game', 'Sports']","['Card Drafting', 'Hand Management']",['Sports: Football / Soccer']
35,['https://boardgamegeek.com/boardgame/20146/der-weg-nach-drakonia/credits'],"['Adventure', 'Card Game', 'Fantasy']",[],['Das Schwarze Auge']
36,['https://boardgamegeek.com/boardgame/185028/giraffometer/credits'],"['Educational', 'Party Game', 'Trivia']",['Voting'],[]
37,['https://boardgamegeek.com/boardgame/241490/pool-party/credits'],"[""Children's Game""]",['Action Queue'],[]
38,['https://boardgamegeek.com/boardgame/24795/cleopatras-caboose/credits'],"['Ancient', 'City Building', 'Economic', 'Humor', 'Trains', 'Transportation']","['Auction/Bidding', 'Card Drafting', 'Commodity Speculation', 'Pick-up and Deliver', 'Variable Player Powers']",['Country: Egypt']
39,['https://boardgamegeek.com/boardgame/52276/captain-pirate/credits'],"['Card Game', 'Pirates']","['Cooperative Game', 'Set Collection']",[]
40,['https://boardgamegeek.com/boardgame/17635/mob-city/credits'],['Mafia'],"['Auction/Bidding', 'Campaign / Battle Card Driven', 'Dice Rolling', 'Modular Board', 'Secret Unit Deployment', 'Variable Player Powers']",[]
41,['https://boardgamegeek.com/boardgame/40871/crunch-game-utter-bankers/credits'],"['Action / Dexterity', 'Card Game', 'Economic', 'Humor', 'Political']","['Betting and Bluffing', 'Commodity Speculation', 'Voting']",['Admin: Better Description Needed!']
42,['https://boardgamegeek.com/boardgame/24168/pirates-quest-davy-jones-gold/credits'],"['Fighting', 'Miniatures', 'Nautical', 'Pirates']",['Dice Rolling'],[]
43,['https://boardgamegeek.com/boardgame/1567/stockers/credits'],"['Card Game', 'Racing']",['Betting and Bluffing'],['Sports: Auto Racing']
44,['https://boardgamegeek.com/boardgame/177807/king-arthur/credits'],"['Adventure', 'Electronic', 'Exploration', 'Fantasy', 'Mythology']",[],"['Components: Digital Hybrid - App Required', 'smartPLAY', 'Theme: King Arthur / The Knights of the Round Table / Camelot']"
45,['https://boardgamegeek.com/boardgame/8477/10-four-good-buddy/credits'],"['Humor', 'Movies / TV / Radio theme', 'Racing', 'Transportation']",['Roll / Spin and Move'],['Theme: Trucks']
46,['https://boardgamegeek.com/boardgame/138746/teenage-mutant-ninja-turtles-clash-alley-strategy/credits'],"['Adventure', ""Children's Game""]","['Dice Rolling', 'Hand Management', 'Modular Board']","['Animals: Turtles', 'Comic Books: Teenage Mutant Ninja Turtles']"
47,['https://boardgamegeek.com/boardgame/14625/stare-junior-edition/credits'],"[""Children's Game"", 'Memory', 'Party Game']",['Memory'],['Versions & Editions: Junior Versions of Grown-Up Games']
48,['https://boardgamegeek.com/boardgame/4096/nodwick-card-game/credits'],"['Card Game', 'Real-time']","['Set Collection', 'Trading']","['Admin: Better Description Needed!', 'Mechanic: Turnless Trading']"
49,['https://boardgamegeek.com/boardgame/14354/2eme-db-i-normandie/credits'],"['Wargame', 'World War II']","['Dice Rolling', 'Grid Movement', 'Hexagon Grid', 'Simulation', 'Zone of Control']","['Admin: Better Description Needed!', 'Country: France', 'Region: Normandy (France)']"
50,['https://boardgamegeek.com/boardgame/21/gateway-stars/credits'],"['Civilization', 'Exploration', 'Science Fiction', 'Wargame']",[],"['Admin: Better Description Needed!', 'Mechanic: 4X']"
51,['https://boardgamegeek.com/boardgame/283544/25-outlaws/credits'],"['American West', 'Bluffing', 'Card Game']","['Betting and Bluffing', 'Card Play Conflict Resolution', 'Dice Rolling', 'Player Elimination']",[]
52,['https://boardgamegeek.com/boardgame/4695/weapons-warriors-lashout-launcher-set/credits'],"['Action / Dexterity', 'Medieval', 'Miniatures', 'Wargame']",['Roll / Spin and Move'],['Game: Weapons & Warriors']
53,['https://boardgamegeek.com/boardgame/153624/oink/credits'],"['Animals', 'Card Game', ""Children's Game""]",[],['Animals: Pigs']
54,['https://boardgamegeek.com/boardgame/5011/monsters-midway/credits'],"['Fantasy', 'Sports']",['Variable Player Powers'],"['Creatures: Monsters', 'Magazine: Dragon', 'Theme: Fantasy Sports']"
55,['https://boardgamegeek.com/boardgame/1207/big-deal/credits'],['Economic'],"['Auction/Bidding', 'Stock Holding']",[]
56,['https://boardgamegeek.com/boardgame/9368/ave-tenebrae/credits'],"['Fantasy', 'Wargame']",['Hexagon Grid'],[]
57,['https://boardgamegeek.com/boardgame/179975/secret-santa/credits'],['Card Game'],['Ladder Climbing'],"['Card Games: Climbing', 'Holidays: Christmas']"
58,['https://boardgamegeek.com/boardgame/88005/aguila-roja/credits'],"['Adventure', 'Movies / TV / Radio theme']","['Cooperative Game', 'Point to Point Movement']",[]
59,['https://boardgamegeek.com/boardgame/4297/dallas-game-ewing-family/credits'],['Movies / TV / Radio theme'],[],"['Cities: Dallas (Texas, USA)', 'Series: Album Games (Yaquinto)', 'TV Series: Dallas']"
60,['https://boardgamegeek.com/boardgame/182062/movie-buff/credits'],"['Card Game', 'Movies / TV / Radio theme', 'Party Game', 'Trivia']","['Cooperative Game', 'Hand Management']",['Crowdfunding: Kickstarter']
61,['https://boardgamegeek.com/boardgame/33418/therapy-second-session/credits'],"['Mature / Adult', 'Medical', 'Party Game', 'Trivia']",['Roll / Spin and Move'],[]
62,['https://boardgamegeek.com/boardgame/118713/peek-boo/credits'],"[""Children's Game"", 'Deduction', 'Memory']","['Memory', 'Roll / Spin and Move', 'Set Collection']",['Creatures: Ghosts']
63,['https://boardgamegeek.com/boardgame/462/esels-rennen/credits'],"['Animals', 'Racing']",['Betting and Bluffing'],['Animals: Donkeys']
64,['https://boardgamegeek.com/boardgame/5957/tito-and-his-partisan-army-yugoslavia-1941-45/credits'],"['Civil War', 'Wargame', 'World War II']","['Area Movement', 'Simulation']","['Country: Serbia', 'Magazine: Strategy & Tactics']"
65,['https://boardgamegeek.com/boardgame/19697/taverne-de-la-crypte/credits'],"['Fantasy', 'Horror', 'Humor', 'Medieval']","['Simultaneous Action Selection', 'Variable Player Powers']",[]
66,['https://boardgamegeek.com/boardgame/182284/motto/credits'],['Humor'],['Set Collection'],['Admin: Better Description Needed!']
67,['https://boardgamegeek.com/boardgame/406/meteo/credits'],['Economic'],['Tile Placement'],[]
68,['https://boardgamegeek.com/boardgame/177750/wild-cats/credits'],"['Card Game', 'Deduction']","['Player Elimination', 'Variable Player Powers']","['Crowdfunding: Kickstarter', 'Series: Wallet Games (Button Shy)']"
69,['https://boardgamegeek.com/boardgame/16067/star-wars-electronic-galactic-battle/credits'],"[""Children's Game"", 'Electronic', 'Movies / TV / Radio theme', 'Science Fiction']","['Modular Board', 'Secret Unit Deployment']","['Game: Battleship', 'Movies: Star Wars']"
70,['https://boardgamegeek.com/boardgame/208533/batman-animated-series-almost-got-im-card-game/credits'],"['Bluffing', 'Comic Book / Strip', 'Mafia', 'Party Game']","['Hand Management', 'Set Collection']","['Comic Books: Batman', 'Comic Books: DC Universe', 'TV Series: Batman – The Animated Series']"
71,['https://boardgamegeek.com/boardgame/120264/turista-mundial/credits'],['Economic'],"['Player Elimination', 'Roll / Spin and Move', 'Set Collection', 'Stock Holding']",['Monopoly: short derivatives']
72,['https://boardgamegeek.com/boardgame/1267/polar-dare/credits'],"['Animals', ""Children's Game"", 'Racing']","['Modular Board', 'Roll / Spin and Move']","['Animals: Bears', 'Animals: Penguins']"
73,['https://boardgamegeek.com/boardgame/270133/sumo-slam/credits'],['Action / Dexterity'],[],[]
74,['https://boardgamegeek.com/boardgame/42006/glucks-piraten/credits'],"[""Children's Game"", 'Pirates']","['Dice Rolling', 'Roll / Spin and Move']",['Series: Mitbringspiele (HABA)']
75,['https://boardgamegeek.com/boardgame/120515/chupacabra-survive-night/credits'],"['Dice', 'Horror']",['Dice Rolling'],[]
76,['https://boardgamegeek.com/boardgame/6573/husch-husch-kleine-hexe/credits'],"[""Children's Game"", 'Dice', 'Fantasy', 'Memory', 'Racing']","['Dice Rolling', 'Memory', 'Roll / Spin and Move']",['Theme: Witches']
77,['https://boardgamegeek.com/boardgame/575/das-kollier/credits'],"['Card Game', 'Economic']","['Auction/Bidding', 'Auction: Dutch', 'Set Collection']",[]
78,['https://boardgamegeek.com/boardgame/25967/scene-it-marvel-deluxe/credits'],"['Comic Book / Strip', 'Party Game', 'Trivia']","['Dice Rolling', 'Point to Point Movement']","['Comic Books: Marvel Universe', 'Components: DVDs', 'Scene It?', 'Theme: Superheroes']"
79,['https://boardgamegeek.com/boardgame/24779/uno-house-rules/credits'],['Card Game'],['Hand Management'],['Game: UNO']
80,['https://boardgamegeek.com/boardgame/20525/knock-out-whist/credits'],['Card Game'],['Trick-taking'],['Components: Traditional Playing Cards']
81,['https://boardgamegeek.com/boardgame/166509/pinocchio-true-or-false/credits'],"['Action / Dexterity', 'Bluffing', 'Card Game', 'Comic Book / Strip', 'Negotiation', 'Party Game']","['Simulation', 'Storytelling']",[]
82,['https://boardgamegeek.com/boardgame/174/t-rex/credits'],['Card Game'],"['Hand Management', 'Set Collection', 'Trick-taking']",['Animals: Dinosaurs']
83,['https://boardgamegeek.com/boardgame/16699/such-such/credits'],"['Party Game', 'Real-time']",[],[]
84,['https://boardgamegeek.com/boardgame/34383/kalle-kanalratte/credits'],"['Animals', 'Bluffing', ""Children's Game""]",[],['Animals: Rats']
85,['https://boardgamegeek.com/boardgame/35466/sword-and-shield/credits'],"['Card Game', 'Fighting', 'Medieval']","['Card Drafting', 'Hand Management', 'Team-Based Game']",['Theme: Chivalry / Jousting / Tournaments (Medieval Europe)']
86,['https://boardgamegeek.com/boardgame/5679/mario-party-e/credits'],"['Card Game', 'Electronic', 'Video Game Theme']",[],"['Video Game Theme: Nintendo', 'Video Game Theme: Super Mario Bros.']"
87,['https://boardgamegeek.com/boardgame/72560/cranium-junior/credits'],"[""Children's Game"", 'Movies / TV / Radio theme', 'Party Game', 'Puzzle', 'Trivia', 'Word Game']","['Acting', 'Paper-and-Pencil']","['Components: Play Dough / Modeling Clay', 'Game: Cranium', 'TV Series: Spongebob Squarepants', 'Versions & Editions: Junior Versions of Grown-Up Games']"
88,['https://boardgamegeek.com/boardgame/4903/columbo-detective-game/credits'],"['Deduction', 'Memory', 'Movies / TV / Radio theme']","['Memory', 'Set Collection']",['Theme: TV Detectives']
89,['https://boardgamegeek.com/boardgame/181153/butts-away-heroes/credits'],"['Dice', 'Party Game', 'Racing']","['Dice Rolling', 'Hand Management', 'Push Your Luck']",[]
90,['https://boardgamegeek.com/boardgame/179124/air-alliance/credits'],"['Aviation / Flight', 'Miniatures', 'Transportation', 'Travel']","['Action Points', 'Pick-up and Deliver']",[]
91,['https://boardgamegeek.com/boardgame/8475/tempus-draconis/credits'],"['Adventure', 'Dice', 'Exploration', 'Fantasy', 'Humor']","['Action Points', 'Cooperative Game', 'Dice Rolling', 'Modular Board', 'Roll / Spin and Move', 'Variable Player Powers']",['Creatures: Dragons']
92,['https://boardgamegeek.com/boardgame/122873/cartes-sur-table/credits'],"['Card Game', 'Party Game']",['Voting'],[]
93,['https://boardgamegeek.com/boardgame/171626/lotti-karotti-das-hasenrennen/credits'],"['Animals', ""Children's Game"", 'Racing']",['Roll / Spin and Move'],['Animals: Rabbits']
94,['https://boardgamegeek.com/boardgame/55828/mees-kes-teadis-ussisonu/credits'],"['Adventure', 'Card Game', 'Dice', 'Novel-based']","['Card Drafting', 'Roll / Spin and Move', 'Tile Placement']",[]
95,['https://boardgamegeek.com/boardgame/7667/historys-mysteries-card-game/credits'],"['Card Game', 'Educational', 'Movies / TV / Radio theme']","['Hand Management', 'Set Collection']","['Series: Mystery Rummy', 'Traditional Card Games: Rummy']"
96,['https://boardgamegeek.com/boardgame/129944/hey-froggy/credits'],"['Animals', 'Racing']",[],['Animals: Frogs / Toads']
97,['https://boardgamegeek.com/boardgame/11751/no-peeking/credits'],"['Action / Dexterity', 'Animals', ""Children's Game"", 'Memory', 'Party Game', 'Puzzle']","['Memory', 'Pattern Recognition', 'Set Collection']",[]
98,['https://boardgamegeek.com/boardgame/37127/uno-30-year-anniversary-edition/credits'],['Card Game'],['Hand Management'],['Game: UNO']
99,['https://boardgamegeek.com/boardgame/16975/teen-titans-collectible-card-game/credits'],"['Card Game', 'Collectible Components', 'Comic Book / Strip']",[],"['CCGs (Collectible Card Games)', 'Comic Books: DC Universe', 'Theme: Anime / Manga']"
100,['https://boardgamegeek.com/boardgame/208888/il-trono-di-mortadella/credits'],['Dice'],['Dice Rolling'],"['Cities: Bologna (Emilia-Romagna, Italy)']"
101,['https://boardgamegeek.com/boardgame/10075/claim-fame/credits'],"['Memory', 'Party Game']","['Acting', 'Memory', 'Team-Based Game']",[]
102,['https://boardgamegeek.com/boardgame/13648/ligretto-2/credits'],"['Card Game', 'Real-time']","['Card Drafting', 'Hand Management']",['Ligretto']
103,['https://boardgamegeek.com/boardgame/28068/four-twenty-one/credits'],"['Dice', 'Party Game']","['Betting and Bluffing', 'Dice Rolling']","['Dice 10,000 games']"
