,url,category,mechanic,family
0,['https://boardgamegeek.com/boardgame/207911/trivial-pursuit-2000s-edition/credits'],"['Party Game', 'Trivia']","['Roll / Spin and Move', 'Set Collection']",['Game: Trivial Pursuit']
1,['https://boardgamegeek.com/boardgame/19414/h2olland/credits'],"['Economic', 'Environmental', 'Farming']","['Tile Placement', 'Variable Phase Order']",[]
2,['https://boardgamegeek.com/boardgame/6879/super-rack-o/credits'],['Card Game'],['Set Collection'],"['Rack-O', 'Traditional Card Games: Rummy']"
3,['https://boardgamegeek.com/boardgame/2989/instinct/credits'],['Card Game'],"['Hand Management', 'Trick-taking']",[]
4,['https://boardgamegeek.com/boardgame/37770/palio/credits'],['Racing'],['Roll / Spin and Move'],"['Cities: Siena (Tuscany, Italy)', 'Sports: Horse Racing']"
5,['https://boardgamegeek.com/boardgame/43486/trial-socrates/credits'],"['Ancient', 'Card Game']","['Area Majority / Influence', 'Simultaneous Action Selection']",[]
6,['https://boardgamegeek.com/boardgame/217268/wyscig-odkrywcow/credits'],"['Educational', 'Travel']",['Point to Point Movement'],['Admin: Unreleased Games']
7,['https://boardgamegeek.com/boardgame/21635/number-chase/credits'],"['Card Game', ""Children's Game"", 'Number']",[],['Admin: Better Description Needed!']
8,['https://boardgamegeek.com/boardgame/1033/xenophon-10000-against-persia/credits'],"['Ancient', 'Wargame']","['Dice Rolling', 'Hexagon Grid', 'Movement Points', 'Simulation', 'Zone of Control']","['Ancient: Greece', 'Country: Greece', 'History: Greek & Persian conflicts of the 4th century BC', 'Magazine: Strategy & Tactics']"
9,['https://boardgamegeek.com/boardgame/35492/wieden-1683/credits'],"['Pike and Shot', 'Wargame']",['Hexagon Grid'],"['Country: Austria', 'History: Great Turkish War', 'History: Ottoman-Habsburg Wars']"
10,['https://boardgamegeek.com/boardgame/26446/lovepigs-porcellini/credits'],"['Animals', 'Card Game', 'Deduction', 'Humor', 'Party Game']","['Acting', 'Card Drafting', 'Modular Board', 'Team-Based Game']",['Animals: Pigs']
11,['https://boardgamegeek.com/boardgame/1637/situation-7/credits'],"['Puzzle', 'Real-time', 'Science Fiction']","['Area Majority / Influence', 'Speed Matching', 'Team-Based Game']",[]
12,['https://boardgamegeek.com/boardgame/260334/winston/credits'],"['Animals', ""Children's Game""]","['Pattern Building', 'Push Your Luck']","['Animals: Dogs', 'Series: Pocket Games (Helvetiq)']"
13,['https://boardgamegeek.com/boardgame/154243/menu-mash/credits'],"['Card Game', 'Humor', 'Party Game']","['Dice Rolling', 'Hand Management', 'Simultaneous Action Selection']",['Theme: Food / Cooking']
14,['https://boardgamegeek.com/boardgame/116948/cartoona/credits'],"[""Children's Game""]","['Pattern Recognition', 'Set Collection', 'Tile Placement']",['Crowdfunding: Kickstarter']
15,['https://boardgamegeek.com/boardgame/233501/yummy-world-party-picnic-palace/credits'],['Card Game'],['Set Collection'],['Theme: Food / Cooking']
16,['https://boardgamegeek.com/boardgame/286001/dwar7s-duel/credits'],"['Fantasy', 'Territory Building']","['Area Majority / Influence', 'Hand Management', 'Set Collection', 'Take That', 'Worker Placement']","['Game: Dwar7s Fall', 'Series: Dwar7s', 'Versions & Editions: Two-Player Versions of More-Player Games']"
17,['https://boardgamegeek.com/boardgame/99044/battle-lepanto/credits'],"['Nautical', 'Renaissance', 'Wargame']",['Hexagon Grid'],"['History: Ottoman-Habsburg Wars', 'Magazine: Strategy & Tactics']"
18,['https://boardgamegeek.com/boardgame/4957/timberland/credits'],"['Animals', ""Children's Game"", 'Environmental', 'Farming']","['Auction/Bidding', 'Hand Management']",['Animals: Pigs']
19,['https://boardgamegeek.com/boardgame/22336/kreuzverhor-krimi-kartenspiel-fur-zwei-ermittler/credits'],"['Card Game', 'Deduction']",[],['Krimi-Kartenspiel']
20,['https://boardgamegeek.com/boardgame/10508/leinen-los/credits'],"['Action / Dexterity', ""Children's Game"", 'Nautical', 'Racing']",[],[]
21,['https://boardgamegeek.com/boardgame/18011/chaturanga/credits'],['Abstract Strategy'],"['Dice Rolling', 'Grid Movement', 'Player Elimination']",['Traditional Games: Chess']
22,['https://boardgamegeek.com/boardgame/21012/pentago-xl/credits'],['Abstract Strategy'],"['Pattern Building', 'Pattern Recognition', 'Team-Based Game']","['Game: Pentago', 'n in a row']"
23,['https://boardgamegeek.com/boardgame/42279/run-wild/credits'],['Card Game'],"['Hand Management', 'Set Collection']",['Traditional Card Games: Rummy']
24,['https://boardgamegeek.com/boardgame/137156/zombie-house-blitz/credits'],"['Action / Dexterity', 'Horror', 'Real-time', 'Zombies']",['Hand Management'],[]
25,['https://boardgamegeek.com/boardgame/73238/crusader-battle-tobruk/credits'],"['Wargame', 'World War II']","['Dice Rolling', 'Grid Movement', 'Hexagon Grid', 'Simulation']","['Country: Libya', 'Fire & Movement combat system', 'History: World War II (Africa)', 'Series: Folio (Decision Games)']"
26,['https://boardgamegeek.com/boardgame/21141/eastern-front-2/credits'],"['Educational', 'Print & Play', 'Wargame', 'World War II']","['Dice Rolling', 'Hexagon Grid', 'Simulation']",[]
27,['https://boardgamegeek.com/boardgame/165044/everzone-strategic-battles-universe/credits'],"['Card Game', 'Space Exploration', 'Wargame']","['Deck, Bag, and Pool Building', 'Player Elimination', 'Simulation']",['Traditional Card Games: War']
28,['https://boardgamegeek.com/boardgame/127436/der-hobbit-eine-unerwartete-reise-das-spiel-zum-fi/credits'],"['Card Game', 'Fantasy', 'Movies / TV / Radio theme', 'Novel-based']","['Cooperative Game', 'Dice Rolling', 'Hand Management', 'Roll / Spin and Move']",['Authors: J.R.R. Tolkien']
29,['https://boardgamegeek.com/boardgame/3746/star-trek-trivia-game/credits'],"['Movies / TV / Radio theme', 'Science Fiction', 'Trivia']",['Roll / Spin and Move'],['TV Series: Star Trek']
30,['https://boardgamegeek.com/boardgame/139660/tasnia/credits'],"['City Building', 'Deduction', 'Medieval', 'Puzzle']","['Set Collection', 'Tile Placement', 'Trading']",['Crowdfunding: Kickstarter']
31,['https://boardgamegeek.com/boardgame/3159/zahltag/credits'],"['Card Game', 'City Building']","['Auction/Bidding', 'Set Collection']",[]
32,['https://boardgamegeek.com/boardgame/121295/coven/credits'],"['Deduction', 'Fantasy', 'Horror', 'Negotiation']",[],"['Crowdfunding: Kickstarter', 'Organizations: The Game Artisans of Canada', 'Theme: Witches']"
33,['https://boardgamegeek.com/boardgame/93678/spring-fever/credits'],"['Bluffing', 'Card Game']",['Card Drafting'],['Theme: Flowers']
34,['https://boardgamegeek.com/boardgame/23030/davincis-mancala/credits'],['Abstract Strategy'],"['Mancala', 'Pattern Building']","[""Game: DaVinci's Challenge"", 'Historical Figures: Leonardo da Vinci', 'Mechanic: Combinatorial', 'Traditional Games: Mancala']"
35,['https://boardgamegeek.com/boardgame/188952/maigo-neko/credits'],"['Animals', 'Deduction', 'Exploration']","['Modular Board', 'Point to Point Movement']",['Animals: Cats']
36,['https://boardgamegeek.com/boardgame/191687/jungle-party/credits'],"[""Children's Game""]",['Memory'],[]
37,['https://boardgamegeek.com/boardgame/94916/zed-deck/credits'],"['Card Game', 'Print & Play', 'Zombies']",[],"['Creatures: Zombies', 'No table needed', 'Players: Games with Solitaire Rules', 'Players: Solitaire Only Games']"
38,['https://boardgamegeek.com/boardgame/213500/1672-lost-crew/credits'],"['Dice', 'Exploration', 'Print & Play', 'Territory Building']","['Dice Rolling', 'Line Drawing', 'Paper-and-Pencil', 'Worker Placement']","['Players: Solitaire Only Games', 'Series: XX72 Solitaire Games (Mike Heim)']"
39,['https://boardgamegeek.com/boardgame/138015/swish-jr/credits'],"['Abstract Strategy', 'Puzzle']","['Pattern Building', 'Pattern Recognition']",['Versions & Editions: Junior Versions of Grown-Up Games']
40,['https://boardgamegeek.com/boardgame/136029/le-tricheur/credits'],['Trivia'],[],[]
41,['https://boardgamegeek.com/boardgame/151640/iron-ale/credits'],"['Action / Dexterity', 'Card Game', 'Dice', 'Fantasy', 'Party Game']","['Dice Rolling', 'Hand Management', 'Take That']",['Crowdfunding: Kickstarter']
42,['https://boardgamegeek.com/boardgame/4273/temple-beastmen/credits'],"['Adventure', 'Exploration', 'Fighting', 'Maze', 'Science Fiction']","['Modular Board', 'Variable Player Powers']",[]
43,['https://boardgamegeek.com/boardgame/170555/who-knows-where/credits'],"['Travel', 'Trivia']",[],[]
44,['https://boardgamegeek.com/boardgame/17298/branches-and-twigs-and-thorns/credits'],['Abstract Strategy'],['Tile Placement'],"['Looney Pyramid Games', 'Mechanic: Combinatorial']"
45,['https://boardgamegeek.com/boardgame/530/entenrallye/credits'],['Racing'],['Roll / Spin and Move'],['Sports: Auto Racing']
46,['https://boardgamegeek.com/boardgame/161773/little-cooperation/credits'],"[""Children's Game"", 'Dice']","['Cooperative Game', 'Dice Rolling']",[]
47,['https://boardgamegeek.com/boardgame/96672/tiebreaker/credits'],"['Card Game', 'Comic Book / Strip']",[],[]
48,['https://boardgamegeek.com/boardgame/108862/elfer-raus-master/credits'],['Card Game'],[],['Elfer raus!']
49,['https://boardgamegeek.com/boardgame/246203/magic-mandala/credits'],"['Action / Dexterity', 'Real-time']",['Pattern Building'],[]
50,['https://boardgamegeek.com/boardgame/193436/double-ditto/credits'],['Party Game'],[],[]
51,['https://boardgamegeek.com/boardgame/68251/loot-and-scoot/credits'],"['Exploration', 'Fantasy', 'Fighting']","['Action Points', 'Dice Rolling', 'Push Your Luck']",['Series: Euro Games (Victory Point Games)']
52,['https://boardgamegeek.com/boardgame/280148/gizeh/credits'],"['Exploration', 'Memory']",['Memory'],"['Admin: Unreleased Games', 'Country: Egypt']"
53,['https://boardgamegeek.com/boardgame/165190/boom-bokken/credits'],"['Action / Dexterity', 'Card Game']","['Hand Management', 'Take That', 'Team-Based Game']",[]
54,['https://boardgamegeek.com/boardgame/43041/black-stories-movie-edition/credits'],"['Card Game', 'Deduction', 'Horror', 'Humor', 'Murder/Mystery', 'Party Game']",['Storytelling'],['Game: Black Stories']
55,['https://boardgamegeek.com/boardgame/209033/por-favor-nao-corte-minha-cabeca/credits'],"['Bluffing', 'Card Game', 'Deduction', 'Horror', 'Humor', 'Movies / TV / Radio theme']","['Hand Management', 'Simultaneous Action Selection']",[]
56,['https://boardgamegeek.com/boardgame/21001/alibi-saknas-herrgardsmordet/credits'],"['Card Game', 'Humor', 'Murder/Mystery']","['Pattern Building', 'Voting']",[]
57,['https://boardgamegeek.com/boardgame/168457/hexagony/credits'],['Abstract Strategy'],"['Hand Management', 'Pattern Building', 'Pick-up and Deliver', 'Tile Placement']","['Players: Games with Solitaire Rules', 'Traditional Games: Dominoes']"
58,['https://boardgamegeek.com/boardgame/27227/contrario-2/credits'],"['Party Game', 'Trivia', 'Word Game']",[],[]
59,['https://boardgamegeek.com/boardgame/310100/nemesis-lockdown/credits'],"['Adventure', 'Horror', 'Miniatures', 'Science Fiction']","['Cooperative Game', 'Dice Rolling', 'Hidden Roles', 'Modular Board', 'Player Elimination', 'Semi-Cooperative Game', 'Traitor Game', 'Variable Player Powers']","['Admin: Unreleased Games', 'Crowdfunding: Kickstarter', 'Game: Nemesis', 'Players: Games with Solitaire Rules', 'Space: Mars']"
60,['https://boardgamegeek.com/boardgame/13357/minds/credits'],['Party Game'],['Simultaneous Action Selection'],[]
