,url,category,mechanic,family
0,['https://boardgamegeek.com/boardgame/113324/dungeon-delver/credits'],"['Adventure', 'Fantasy', 'Print & Play']",['Dice Rolling'],"['Players: Games with Solitaire Rules', 'Players: Solitaire Only Games']"
1,['https://boardgamegeek.com/boardgame/280281/sinister-six/credits'],"['Collectible Components', 'Comic Book / Strip']","['Take That', 'Variable Player Powers']","['Comic Books: Marvel Universe', 'Organizations: The Game Artisans of Canada']"
2,['https://boardgamegeek.com/boardgame/1580/legends-robin-hood/credits'],"['Adventure', 'Fighting']",[],"['Cities: Nottingham (England)', 'Folk Tales & Fairy Tales: Robin Hood']"
3,['https://boardgamegeek.com/boardgame/175468/foe-hunters/credits'],"['Card Game', 'Fantasy']","['Cooperative Game', 'Deck, Bag, and Pool Building', 'Hand Management', 'Variable Player Powers']",['Crowdfunding: Kickstarter']
4,['https://boardgamegeek.com/boardgame/41712/desafino/credits'],"['Music', 'Trivia']","['Acting', 'Card Drafting', 'Team-Based Game']",[]
5,['https://boardgamegeek.com/boardgame/194998/mad-love/credits'],"['Card Game', 'Deduction', 'Horror', 'Memory']","['Cooperative Game', 'Grid Movement', 'Hand Management', 'Memory', 'Pattern Recognition']","['Crowdfunding: Kickstarter', 'Theme: Cthulhu Mythos']"
6,['https://boardgamegeek.com/boardgame/47158/elemental-clash-basic-set/credits'],"['Card Game', 'Collectible Components', 'Fantasy', 'Print & Play']","['Area Movement', 'Campaign / Battle Card Driven', 'Variable Player Powers']",['Elemental Clash']
7,['https://boardgamegeek.com/boardgame/150530/moteneba/credits'],['Abstract Strategy'],"['Card Drafting', 'Commodity Speculation', 'Team-Based Game']",[]
8,['https://boardgamegeek.com/boardgame/24042/la-caida-del-imperio-romano/credits'],"['Ancient', 'Wargame']",['Hexagon Grid'],['Ancient: Rome']
9,['https://boardgamegeek.com/boardgame/165447/ufo-farmer/credits'],"['Animals', 'Science Fiction']","['Memory', 'Set Collection']",['Theme: UFOs']
10,['https://boardgamegeek.com/boardgame/130598/10-tage-durch-deutschland/credits'],"['Educational', 'Exploration', 'Travel']","['Hand Management', 'Set Collection']","['Country: Germany', 'Series: 10 Days in ...']"
11,['https://boardgamegeek.com/boardgame/20732/la-conquista-del-oeste/credits'],"['American West', 'Travel']","['Dice Rolling', 'Point to Point Movement']",[]
12,['https://boardgamegeek.com/boardgame/22594/universal-fighting-system-soul-calibur-iii/credits'],"['Card Game', 'Collectible Components', 'Fighting', 'Video Game Theme']",['Variable Player Powers'],"['CCGs (Collectible Card Games)', 'Universal Fighting System']"
13,['https://boardgamegeek.com/boardgame/39245/neu/credits'],['Card Game'],['Hand Management'],[]
14,['https://boardgamegeek.com/boardgame/7048/big-top/credits'],"['Card Game', 'Educational']",['Hand Management'],['Theme: Circus']
15,['https://boardgamegeek.com/boardgame/70325/major-four-heizei/credits'],"['Ancient', 'Card Game']",['Card Drafting'],[]
16,['https://boardgamegeek.com/boardgame/124372/le-petit-poucet/credits'],"['Memory', 'Novel-based']","['Cooperative Game', 'Memory']",[]
17,['https://boardgamegeek.com/boardgame/32025/einfach-genial-knobelspass/credits'],"['Puzzle', 'Racing']",['Tile Placement'],"['Game: Ingenious', 'Players: Games with Solitaire Rules']"
18,['https://boardgamegeek.com/boardgame/202896/package/credits'],['Abstract Strategy'],"['Area Majority / Influence', 'Dice Rolling']",['Crowdfunding: Kickstarter']
19,['https://boardgamegeek.com/boardgame/882/derby/credits'],"['Bluffing', 'Racing', 'Sports']",['Betting and Bluffing'],['Sports: Horse Racing']
20,['https://boardgamegeek.com/boardgame/39124/huang-dih-o-grande-imperador/credits'],"['Ancient', 'Card Game', 'Number']","['Card Drafting', 'Hand Management', 'Pattern Building', 'Set Collection']",[]
21,['https://boardgamegeek.com/boardgame/3557/steppe/credits'],['Abstract Strategy'],['Tile Placement'],['Series: Master Moves (TSR)']
22,['https://boardgamegeek.com/boardgame/218632/grumpf/credits'],['Real-time'],"['Area Majority / Influence', 'Set Collection']",[]
