,url,category,mechanic,family
0,['https://boardgamegeek.com/boardgame/244502/barbarian-vince/credits'],"['Adventure', 'Card Game', 'Print & Play']","['Hand Management', 'Solo / Solitaire Game', 'Storytelling']","['Contests: Solitaire Print & Play', 'Players: Games with Solitaire Rules', 'Players: Solitaire Only Games']"
1,['https://boardgamegeek.com/boardgame/114/ransom/credits'],"['Abstract Strategy', 'Bluffing', 'City Building', 'Economic', 'Negotiation']","['Auction/Bidding', 'Commodity Speculation', 'Cooperative Game', 'Memory', 'Team-Based Game', 'Trading']",['Containers: Video Tape Boxes']
2,['https://boardgamegeek.com/boardgame/6768/battlestar-galactica/credits'],"['Movies / TV / Radio theme', 'Science Fiction', 'Wargame']","['Action Queue', 'Hexagon Grid', 'Modular Board', 'Simultaneous Action Selection', 'Team-Based Game']","['Creatures: Aliens / Extraterrestrials', 'Players: Games with Solitaire Rules', 'TV Series: Battlestar Galactica']"
3,['https://boardgamegeek.com/boardgame/237171/last-one-standing-battle-royale-board-game/credits'],"['Fighting', 'Video Game Theme', 'Wargame']","['Hand Management', 'Player Elimination', 'Point to Point Movement']",['Crowdfunding: Kickstarter']
4,['https://boardgamegeek.com/boardgame/66964/last-independents/credits'],"['Card Game', 'Economic', 'Industry / Manufacturing']","['Area Majority / Influence', 'Hand Management', 'Variable Phase Order', 'Variable Player Powers']",[]
5,['https://boardgamegeek.com/boardgame/1003/das-regeln-wir-schon/credits'],[],[],[]
6,['https://boardgamegeek.com/boardgame/196612/professor-treasures-secret-sky-castle/credits'],"['Fantasy', 'Puzzle']","['Action Queue', 'Modular Board', 'Worker Placement']","['Level 99 Games Duelist Library', 'Level 99 Small Box Games']"
7,['https://boardgamegeek.com/boardgame/287673/baron-voodoo/credits'],"['Dice', 'Fantasy']","['Action Queue', 'Area Movement']",[]
8,['https://boardgamegeek.com/boardgame/263301/al-nofis-imperium-romanum/credits'],"['Ancient', 'Wargame']","['Dice Rolling', 'Hexagon Grid', 'Simulation', 'Zone of Control']","['Ancient: Rome', 'Country: Greece', 'History: Byzantium', 'Region: Mediterranean Sea']"
9,['https://boardgamegeek.com/boardgame/757/lunatix-loop/credits'],['Racing'],[],[]
10,['https://boardgamegeek.com/boardgame/9860/jours-de-gloire-campagne-le-danube/credits'],"['Napoleonic', 'Wargame']","['Dice Rolling', 'Point to Point Movement']","['History: French Revolutionary Wars', 'Jours de Gloire Campagne', 'Magazine: Vae Victis', 'Rivers: Danube']"
11,['https://boardgamegeek.com/boardgame/250406/hero-master-epic-game-epic-fails/credits'],"['Adventure', 'Card Game', 'Dice', 'Fantasy', 'Fighting', 'Humor']","['Deck, Bag, and Pool Building', 'Dice Rolling', 'Hand Management', 'Take That', 'Variable Player Powers']","['Crowdfunding: Kickstarter', 'Dungeon Crawler']"
12,['https://boardgamegeek.com/boardgame/273330/bloodborne-board-game/credits'],"['Adventure', 'Fantasy', 'Horror', 'Miniatures', 'Video Game Theme']","['Campaign / Battle Card Driven', 'Cooperative Game', 'Deck, Bag, and Pool Building', 'Hand Management', 'Modular Board', 'Storytelling', 'Time Track', 'Variable Player Powers']","['Admin: Unreleased Games', 'Crowdfunding: Kickstarter']"
13,['https://boardgamegeek.com/boardgame/218453/pablo/credits'],"['Memory', 'Music', 'Party Game']","['Hand Management', 'Memory', 'Singing']",[]
14,['https://boardgamegeek.com/boardgame/11763/campaign-guadalcanal-long-lance-henderson-field/credits'],"['Wargame', 'World War II']",['Hexagon Grid'],['Country: Solomon Islands']
15,['https://boardgamegeek.com/boardgame/172325/epoch-early-inventors/credits'],"['Civilization', 'Exploration', 'Prehistoric']","['Area Movement', 'Modular Board', 'Simulation']",[]
16,['https://boardgamegeek.com/boardgame/130764/mr-card-game/credits'],"['Card Game', 'Video Game Theme']","['Card Drafting', 'Deck, Bag, and Pool Building', 'Hand Management']",['Crowdfunding: Kickstarter']
