,url,category,mechanic,family
0,['https://boardgamegeek.com/boardgame/104012/puppet-wars/credits'],['Miniatures'],[],[]
1,['https://boardgamegeek.com/boardgame/23378/cold-war-battles-budapest-56-angola-87/credits'],"['Modern Warfare', 'Wargame']",['Hexagon Grid'],"['Cities: Budapest (Hungary)', 'Country: Angola', 'History: Angolan Civil War', 'History: Cold War', 'History: Hungarian Revolution of 1956', 'Magazine: Strategy & Tactics']"
2,['https://boardgamegeek.com/boardgame/11957/interspace/credits'],"['Exploration', 'Print & Play', 'Science Fiction', 'Space Exploration', 'Territory Building']","['Area Movement', 'Dice Rolling', 'Modular Board']",['Mechanic: 4X']
3,['https://boardgamegeek.com/boardgame/11964/bloody-ridge/credits'],"['Wargame', 'World War II']","['Dice Rolling', 'Hexagon Grid', 'Simulation']","['Country: Solomon Islands', 'Series: Tactical Combat (MMP)']"
4,['https://boardgamegeek.com/boardgame/8651/pi-mal-daumen/credits'],"['Bluffing', 'Humor', 'Party Game', 'Trivia']",[],[]
5,['https://boardgamegeek.com/boardgame/81698/total-rumble/credits'],"['Card Game', 'Fighting']",['Card Drafting'],['Sports: Wrestling']
6,['https://boardgamegeek.com/boardgame/223674/zombie-tsunami/credits'],"['Bluffing', 'Card Game', 'Deduction', 'Negotiation', 'Party Game', 'Video Game Theme', 'Zombies']","['Dice Rolling', 'Push Your Luck', 'Take That', 'Team-Based Game', 'Voting']",['Creatures: Zombies']
7,['https://boardgamegeek.com/boardgame/35654/savage-worlds-showdown-miniatures-rules-all-genres/credits'],"['Book', 'Miniatures', 'Science Fiction', 'Wargame']","['Dice Rolling', 'Line of Sight', 'Paper-and-Pencil', 'Variable Player Powers']",['Series: Free Wargames']
8,['https://boardgamegeek.com/boardgame/31454/stratego-fortress/credits'],"['Deduction', 'Maze', 'Medieval']",['Secret Unit Deployment'],['Game: Stratego']
9,['https://boardgamegeek.com/boardgame/162141/swedish-parliament-2014/credits'],"['Negotiation', 'Political']","['Card Drafting', 'Hand Management', 'Variable Player Powers']","['Country: Sweden', 'Theme: Elections']"
10,['https://boardgamegeek.com/boardgame/2895/nanofictionary/credits'],"['Card Game', 'Party Game']",['Storytelling'],[]
11,['https://boardgamegeek.com/boardgame/2285/dark-future/credits'],"['Miniatures', 'Racing', 'Science Fiction', 'Transportation', 'Wargame']",[],['Theme: Post-Apocalyptic']
12,['https://boardgamegeek.com/boardgame/244817/farmini/credits'],"['Animals', ""Children's Game"", 'Farming']",['Tile Placement'],[]
13,['https://boardgamegeek.com/boardgame/1940/sindbad/credits'],"['Adventure', 'Arabian', 'Economic', 'Fighting']","['Events', 'Lose a Turn', 'Pick-up and Deliver', 'Roll / Spin and Move']",[]
14,['https://boardgamegeek.com/boardgame/10889/akron/credits'],['Abstract Strategy'],"['Pattern Building', 'Point to Point Movement']","['Components: 3-Dimensional (3D)', 'Components: Marbles', 'Mechanic: Combinatorial', 'Mechanic: Connection']"
15,['https://boardgamegeek.com/boardgame/197944/crabs/credits'],"['Animals', 'Card Game', 'Farming', 'Math']","['Hand Management', 'Set Collection']",['Animals: Crabs']
16,['https://boardgamegeek.com/boardgame/767/keywood/credits'],['Civilization'],['Voting'],['Series: Key (Richard Brees)']
17,['https://boardgamegeek.com/boardgame/39331/legends-boxing/credits'],"['Fighting', 'Sports']",['Dice Rolling'],"['Sports: Boxing', 'Sports: Combat Sports / Martial Arts']"
18,['https://boardgamegeek.com/boardgame/268543/jumble-jam/credits'],['Card Game'],"['Area Majority / Influence', 'Deck, Bag, and Pool Building', 'Pick-up and Deliver']","['Admin: Unreleased Games', 'Crowdfunding: Kickstarter']"
19,['https://boardgamegeek.com/boardgame/82572/dive-diver-die/credits'],"['Adventure', 'Dice', 'Nautical', 'Party Game']","['Dice Rolling', 'Push Your Luck']",[]
20,['https://boardgamegeek.com/boardgame/10551/pyramidos/credits'],"['Action / Dexterity', 'Ancient', ""Children's Game""]",[],"['Components: Marbles', 'Country: Egypt']"
21,['https://boardgamegeek.com/boardgame/36478/gridstones/credits'],"['Abstract Strategy', 'Card Game', 'Puzzle']","['Pattern Building', 'Pattern Recognition']",['Organizations: The Game Artisans of Canada']
22,['https://boardgamegeek.com/boardgame/489/pacal/credits'],['Card Game'],['Hand Management'],[]
23,['https://boardgamegeek.com/boardgame/267013/kung-fur-fight/credits'],"['Animals', 'Card Game', 'Fighting']","['Hand Management', 'Simultaneous Action Selection', 'Take That']","['Animals: Cats', 'Animals: Dogs']"
24,['https://boardgamegeek.com/boardgame/2235/ido/credits'],['Abstract Strategy'],['Modular Board'],[]
25,['https://boardgamegeek.com/boardgame/2171/bladder/credits'],"['Abstract Strategy', 'Sports']",[],[]
26,['https://boardgamegeek.com/boardgame/42195/labyrinth-duel/credits'],"['Fantasy', 'Maze', 'Puzzle', 'Racing']","['Modular Board', 'Network and Route Building', 'Pattern Building', 'Pattern Recognition', 'Tile Placement']","['Ravensburger Labyrinth Games', 'Versions & Editions: Two-Player Versions of More-Player Games']"
27,['https://boardgamegeek.com/boardgame/122399/bloqs/credits'],"['Abstract Strategy', 'Territory Building']","['Card Drafting', 'Dice Rolling', 'Hand Management']",['Components: 3-Dimensional (3D)']
28,['https://boardgamegeek.com/boardgame/9161/highlander-card-game/credits'],"['Card Game', 'Collectible Components', 'Movies / TV / Radio theme']",[],['CCGs (Collectible Card Games)']
29,['https://boardgamegeek.com/boardgame/209542/diesel-demolition-derby/credits'],"['Card Game', 'Fighting', 'Science Fiction']","['Card Drafting', 'Hand Management', 'Simultaneous Action Selection']","['Mechanic: Tableau Building', 'Theme: Dieselpunk']"
30,['https://boardgamegeek.com/boardgame/5172/blitzkrieg-general/credits'],"['Wargame', 'World War II']",['Area Movement'],[]
31,['https://boardgamegeek.com/boardgame/990/90-grad/credits'],['Abstract Strategy'],[],[]
32,['https://boardgamegeek.com/boardgame/258242/magnate-first-city/credits'],"['City Building', 'Economic']","['Action Points', 'Auction/Bidding', 'Dice Rolling', 'Modular Board', 'Push Your Luck', 'Simulation', 'Stock Holding', 'Tile Placement']",['Admin: Unreleased Games']
33,['https://boardgamegeek.com/boardgame/70222/7tv/credits'],"['Miniatures', 'Movies / TV / Radio theme', 'Spies/Secret Agents']",['Dice Rolling'],['Series: action engine (Crooked Dice Game Design Studio)']
34,['https://boardgamegeek.com/boardgame/19766/city-heroes-ccg/credits'],"['Card Game', 'Collectible Components', 'Comic Book / Strip', 'Science Fiction', 'Video Game Theme']","['Hand Management', 'Variable Player Powers']","['CCGs (Collectible Card Games)', 'Theme: Superheroes']"
35,['https://boardgamegeek.com/boardgame/183402/space-planets/credits'],"['Action / Dexterity', ""Children's Game"", 'Space Exploration']","['Dice Rolling', 'Modular Board', 'Set Collection']",['Series: Mitbringspiel Mini (HABA)']
36,['https://boardgamegeek.com/boardgame/241760/el-mortal/credits'],"['Card Game', 'Humor']",['Take That'],['Crowdfunding: Verkami']
37,['https://boardgamegeek.com/boardgame/8577/home-leaves-fall-marne-campaign-1914/credits'],"['Wargame', 'World War I']",['Hexagon Grid'],['History: 1914 Guns of August Campaign']
38,['https://boardgamegeek.com/boardgame/55896/koplopers-dwarsliggers/credits'],"['Trains', 'Transportation', 'Travel']","['Action Points', 'Pick-up and Deliver', 'Point to Point Movement']",['Country: The Netherlands']
39,['https://boardgamegeek.com/boardgame/413/die-erben-von-hoax/credits'],"['Bluffing', 'Deduction']",['Voting'],[]
40,['https://boardgamegeek.com/boardgame/5418/victory-any-means-campaign-guide/credits'],"['Civilization', 'Exploration', 'Negotiation', 'Science Fiction', 'Space Exploration', 'Territory Building', 'Wargame']",[],['Game: Victory By Any Means']
41,['https://boardgamegeek.com/boardgame/4294/thin-red-line-game-battle-waterloo/credits'],"['Napoleonic', 'Wargame']",[],[]
42,['https://boardgamegeek.com/boardgame/194301/riftwalker-storm-hollow-card-game/credits'],"['Card Game', 'Fantasy']","['Hand Management', 'Pattern Building', 'Take That', 'Variable Player Powers']",[]
43,['https://boardgamegeek.com/boardgame/11889/end-iron-dream/credits'],"['Wargame', 'World War II']","['Dice Rolling', 'Hexagon Grid', 'Ratio / Combat Results Table', 'Simulation']",['Magazine: Wargamer']
44,['https://boardgamegeek.com/boardgame/247188/big-money/credits'],"['Dice', 'Economic']","['Dice Rolling', 'Set Collection']",[]
45,['https://boardgamegeek.com/boardgame/8355/drive-baltic/credits'],"['Wargame', 'World War II']","['Chit-Pull System', 'Hexagon Grid']","['Country: Germany', 'Series: T3 System / Schwerpunkt (Dirk Blennemann)']"
46,['https://boardgamegeek.com/boardgame/8079/mlb-sportsclix/credits'],"['Collectible Components', 'Miniatures', 'Sports']","['Dice Rolling', 'Set Collection', 'Simulation', 'Variable Player Powers']","['Collectible Miniatures Games', 'Components: Clix', 'Sports: Baseball']"
47,['https://boardgamegeek.com/boardgame/20774/battle-little-bighorn/credits'],"['American Indian Wars', 'American West', 'Post-Napoleonic', 'Wargame']","['Dice Rolling', 'Grid Movement', 'Hexagon Grid', 'Line of Sight', 'Movement Points', 'Scenario / Mission / Campaign Game', 'Simulation', 'Zone of Control']","['Country: USA', 'Series: Indian Wars of the American West (Legion Games)']"
48,['https://boardgamegeek.com/boardgame/268665/suzume-jong/credits'],"['Abstract Strategy', 'Number']",['Set Collection'],"['Admin: Better Description Needed!', 'Traditional Games: Mahjong']"
49,['https://boardgamegeek.com/boardgame/38830/destruction-army-group-center-second-edition/credits'],"['Wargame', 'World War II']","['Dice Rolling', 'Hexagon Grid', 'Simulation']",['Magazine: World at War']
50,['https://boardgamegeek.com/boardgame/28565/save-treasure-fairy-tales/credits'],"[""Children's Game"", 'Fantasy', 'Memory', 'Puzzle']","['Cooperative Game', 'Grid Movement', 'Memory', 'Modular Board', 'Set Collection']","[""Series: Pegasus Children's Games (Matagot)""]"
51,['https://boardgamegeek.com/boardgame/34376/captain-clueless-lost-caribbean/credits'],"['Action / Dexterity', 'Exploration', 'Humor', 'Nautical', 'Party Game']","['Line Drawing', 'Team-Based Game']",[]
52,['https://boardgamegeek.com/boardgame/162191/schau-mal/credits'],"['Card Game', ""Children's Game""]",['Pattern Recognition'],['Admin: Better Description Needed!']
53,['https://boardgamegeek.com/boardgame/3359/anagrams/credits'],['Word Game'],[],['Word Games: Spelling / Letters']
54,['https://boardgamegeek.com/boardgame/4265/iliad-siege-troy/credits'],"['Ancient', 'Wargame']","['Dice Rolling', 'Hexagon Grid']","['Country: Greece', 'History: Trojan War']"
55,['https://boardgamegeek.com/boardgame/33875/alkemy/credits'],"['Fantasy', 'Medieval', 'Miniatures', 'Wargame']","['Action Points', 'Dice Rolling', 'Hand Management']",[]
56,['https://boardgamegeek.com/boardgame/227254/hafids-grand-bazaar/credits'],"['Economic', 'Negotiation']","['Auction/Bidding', 'Hand Management', 'Set Collection', 'Trading']",[]
57,['https://boardgamegeek.com/boardgame/235697/27/credits'],['Abstract Strategy'],[],"['Mechanic: Combinatorial', 'Players: Two Player Only Games']"
58,['https://boardgamegeek.com/boardgame/170381/mars-attacks-ten-minute-takedown/credits'],"['Action / Dexterity', 'Science Fiction']",[],['Admin: Better Description Needed!']
59,['https://boardgamegeek.com/boardgame/86003/aether-captains/credits'],"['Dice', 'Fighting', 'Pirates', 'Print & Play', 'Science Fiction']","['Dice Rolling', 'Modular Board', 'Roll / Spin and Move']","['Crowdfunding: Kickstarter', 'Game: Aether Captains', 'Players: Games with Solitaire Rules', 'Theme: Steampunk']"
60,['https://boardgamegeek.com/boardgame/93472/ubongo-das-kartenspiel/credits'],"['Card Game', 'Puzzle']",[],['Game: Ubongo']
61,['https://boardgamegeek.com/boardgame/140743/catan-junior-madagascar/credits'],"['Animals', ""Children's Game"", 'Dice', 'Movies / TV / Radio theme']","['Dice Rolling', 'Network and Route Building', 'Trading']","['Country: Madagascar', 'Game: Catan']"
62,['https://boardgamegeek.com/boardgame/202617/18cle/credits'],"['Economic', 'Trains']","['Auction/Bidding', 'Network and Route Building', 'Stock Holding', 'Tile Placement']","['Cities: Cleveland (Ohio, USA)', 'Series: 18xx']"
63,['https://boardgamegeek.com/boardgame/16455/montebello-1800/credits'],"['Napoleonic', 'Wargame']",['Hexagon Grid'],"['History: Italy 1559–1814 (Foreign dominations)', 'Series: Jours de Gloire (Frédéric Bey)']"
64,['https://boardgamegeek.com/boardgame/8036/legion-tactical-warfare-roman-age-100bc-700ad/credits'],"['Ancient', 'Wargame']","['Dice Rolling', 'Hexagon Grid', 'Movement Points', 'Simulation']","['Ancient: Rome', 'PRESTAGS']"
65,['https://boardgamegeek.com/boardgame/262899/la-petite-mort/credits'],"['Humor', 'Murder/Mystery']","['Card Drafting', 'Pattern Building', 'Pattern Recognition', 'Simultaneous Action Selection', 'Storytelling']",[]
66,['https://boardgamegeek.com/boardgame/103039/beyond-waterloo/credits'],"['Economic', 'Napoleonic', 'Political', 'Wargame']",['Area Movement'],[]
67,['https://boardgamegeek.com/boardgame/42901/attandarra/credits'],"['Economic', 'Medieval']",['Tile Placement'],[]
68,['https://boardgamegeek.com/boardgame/3998/fortune/credits'],"['Economic', 'Environmental', 'Industry / Manufacturing']","['Roll / Spin and Move', 'Set Collection', 'Stock Holding', 'Trading']",[]
69,['https://boardgamegeek.com/boardgame/274563/ghostbusters-blackout/credits'],"['Dice', 'Movies / TV / Radio theme']",['Cooperative Game'],"['Creatures: Ghosts', 'Movies: Ghostbusters']"
70,['https://boardgamegeek.com/boardgame/381/x-pasch/credits'],"['Card Game', 'Dice']",['Dice Rolling'],[]
71,['https://boardgamegeek.com/boardgame/246147/darkness/credits'],"['Ancient', 'Card Game']","['Area Majority / Influence', 'Set Collection', 'Simultaneous Action Selection']",[]
72,['https://boardgamegeek.com/boardgame/13779/suleiman-magnificent/credits'],"['Renaissance', 'Wargame']","['Dice Rolling', 'Hexagon Grid', 'Simulation']","['History: Classical Age of the Ottoman Empire', 'Magazine: Against The Odds', 'Series: Men of Iron (GMT)']"
