,url,category,mechanic,family
0,['https://boardgamegeek.com/boardgame/203788/candy-time/credits'],"[""Children's Game"", 'Puzzle']",['Tile Placement'],[]
1,['https://boardgamegeek.com/boardgame/237927/alakazoo/credits'],"['Animals', 'Fantasy']","['Card Drafting', 'Dice Rolling', 'Pattern Building', 'Set Collection']",['Crowdfunding: Kickstarter']
2,['https://boardgamegeek.com/boardgame/32639/politico/credits'],"['Bluffing', 'Card Game', 'Medieval']","['Set Collection', 'Simultaneous Action Selection']",[]
3,['https://boardgamegeek.com/boardgame/17697/lineage-ii-boardgame/credits'],"['Fantasy', 'Video Game Theme']","['Role Playing', 'Roll / Spin and Move']",[]
4,['https://boardgamegeek.com/boardgame/24803/speed/credits'],"['Card Game', 'Sports']","['Hand Management', 'Pattern Recognition']",['Sports: Football / Soccer']
5,['https://boardgamegeek.com/boardgame/186501/super-pacs/credits'],"['Card Game', 'Humor', 'Political']","['Hand Management', 'Set Collection', 'Take That', 'Variable Player Powers']","['Crowdfunding: Kickstarter', 'Theme: Elections']"
6,['https://boardgamegeek.com/boardgame/3472/plagio/credits'],"['Humor', 'Party Game', 'Word Game']",['Voting'],[]
7,['https://boardgamegeek.com/boardgame/181670/wolf-hound/credits'],"['Animals', 'Card Game']","['Hand Management', 'Team-Based Game']","['Animals: Dogs', 'Animals: Sheep', 'Animals: Wolves', 'Crowdfunding: Kickstarter']"
8,['https://boardgamegeek.com/boardgame/249817/bark-side/credits'],['Card Game'],['Trick-taking'],['Animals: Dogs']
9,['https://boardgamegeek.com/boardgame/172875/drillit-fuga-da-montanha-de-cristal/credits'],"['Adventure', 'Exploration', 'Fantasy']","['Action Points', 'Cooperative Game', 'Modular Board', 'Point to Point Movement', 'Tile Placement']",['Admin: Unreleased Games']
10,['https://boardgamegeek.com/boardgame/28879/quest-shangri-la/credits'],"['Adventure', 'Comic Book / Strip', 'Deduction', 'Exploration', 'Fighting', 'Horror', 'Humor', 'Mature / Adult', 'Maze', 'Murder/Mystery', 'Music', 'Party Game']","['Campaign / Battle Card Driven', 'Dice Rolling', 'Player Elimination', 'Role Playing', 'Roll / Spin and Move']",[]
11,['https://boardgamegeek.com/boardgame/169720/war-tanks-france-1940-breakthrough-dinant/credits'],"['Wargame', 'World War II']","['Dice Rolling', 'Hexagon Grid']","['Country: Belgium', 'Country: France', 'Magazine: Battles']"
12,['https://boardgamegeek.com/boardgame/12049/wintergewitter/credits'],"['Wargame', 'World War II']","['Dice Rolling', 'Hexagon Grid', 'Simulation']",['Magazine: Against The Odds']
13,['https://boardgamegeek.com/boardgame/147352/cuboro-tricky-ways/credits'],['Abstract Strategy'],[],[]
14,['https://boardgamegeek.com/boardgame/131379/saipan-1944-panzer-grenadier-game/credits'],"['Wargame', 'World War II']","['Dice Rolling', 'Hexagon Grid', 'Secret Unit Deployment', 'Simulation']",['Series: Panzer Grenadier (Avalanche)']
15,['https://boardgamegeek.com/boardgame/77200/all-time-championship-soccer/credits'],"['Print & Play', 'Sports']","['Dice Rolling', 'Simulation']",['Sports: Football / Soccer']
16,['https://boardgamegeek.com/boardgame/56685/insula/credits'],"['Adventure', 'Bluffing', 'Exploration', 'Fighting', 'Travel']","['Card Drafting', 'Cooperative Game', 'Dice Rolling', 'Modular Board']",[]
17,['https://boardgamegeek.com/boardgame/5935/drive-frankfurt/credits'],"['Modern Warfare', 'Wargame']","['Dice Rolling', 'Hexagon Grid', 'Simulation']",['Magazine: CounterAttack']
18,['https://boardgamegeek.com/boardgame/8461/first-team-vietnam/credits'],"['Modern Warfare', 'Vietnam War', 'Wargame']","['Dice Rolling', 'Point to Point Movement', 'Roll / Spin and Move', 'Simulation']","['Continents: Asia', 'Country: Vietnam', 'Magazine: Wargamer', 'Players: Games with Solitaire Rules', 'Players: Solitaire Only Games', 'Players: Wargames with Solitaire Rules']"
19,['https://boardgamegeek.com/boardgame/6402/forward-richmond/credits'],"['American Civil War', 'Wargame']","['Dice Rolling', 'Hexagon Grid', 'Secret Unit Deployment', 'Simulation']","['Cities: Richmond (Virginia, USA)', 'Magazine: Wargamer']"
20,['https://boardgamegeek.com/boardgame/22664/phase-10-masters-edition/credits'],['Card Game'],"['Hand Management', 'Set Collection']","['Phase 10', 'Traditional Card Games: Rummy']"
21,['https://boardgamegeek.com/boardgame/1697/hundred-days-battles/credits'],"['Napoleonic', 'Wargame']","['Dice Rolling', 'Hexagon Grid']",['Series: Campaigns of Napoleon System: 1x']
22,['https://boardgamegeek.com/boardgame/265784/cleopatra-and-society-architects-deluxe-edition/credits'],"['Ancient', 'City Building']","['Auction/Bidding', 'Enclosure', 'Hand Management', 'Set Collection', 'Tile Placement']","['Admin: Unreleased Games', 'Crowdfunding: Kickstarter']"
23,['https://boardgamegeek.com/boardgame/98475/7-islands/credits'],"['Card Game', 'Pirates']","['Card Drafting', 'Deck, Bag, and Pool Building', 'Hand Management', 'Worker Placement']",[]
24,['https://boardgamegeek.com/boardgame/27789/rotterdam/credits'],"['Economic', 'Nautical', 'Transportation']","['Pick-up and Deliver', 'Trading']","['Cities: Rotterdam (Netherlands)', 'Country: The Netherlands', 'Ports of Europe']"
25,['https://boardgamegeek.com/boardgame/254923/s-not-lemonade/credits'],"['Card Game', 'Humor']","['Player Elimination', 'Push Your Luck']",['Crowdfunding: Kickstarter']
26,['https://boardgamegeek.com/boardgame/201551/fantasy-battles-9th-age/credits'],"['Fantasy', 'Miniatures', 'Wargame']","['Area Majority / Influence', 'Dice Rolling', 'Variable Player Powers']",[]
27,['https://boardgamegeek.com/boardgame/151224/veletas/credits'],"['Abstract Strategy', 'Print & Play']","['Enclosure', 'Grid Movement']","['Mechanic: Combinatorial', 'Players: Two Player Only Games']"
28,['https://boardgamegeek.com/boardgame/49096/battleground-historical-warfare-second-punic-war-2/credits'],"['Ancient', 'Card Game', 'Dice', 'Expansion for Base-game', 'Wargame']",['Action Points'],"['Ancient: Rome', 'Game: Battleground Historical Warfare', 'History: Punic Wars']"
29,['https://boardgamegeek.com/boardgame/192731/skiwampus/credits'],['Real-time'],['Pattern Building'],[]
30,['https://boardgamegeek.com/boardgame/153987/austerlitz-1805-partie-nord/credits'],"['Napoleonic', 'Wargame']","['Chit-Pull System', 'Hexagon Grid']","['Country: Czech Republic', 'Magazine: Vae Victis', 'Series: Jours de Gloire (Frédéric Bey)']"
31,['https://boardgamegeek.com/boardgame/8913/russo-turkish-war-1877-78/credits'],"['Post-Napoleonic', 'Wargame']","['Dice Rolling', 'Hexagon Grid']","['Country: Turkey', 'History: Russo-Turkish War', 'Magazine: Strategy & Tactics', 'Series: Wars of the Imperial Age (White Dog Games)']"
32,['https://boardgamegeek.com/boardgame/269971/ubongo-3-d-family/credits'],['Puzzle'],[],['Game: Ubongo']
