,url,category,mechanic,family
0,['https://boardgamegeek.com/boardgame/7749/serbia-defiant-romania-transylvanian-gambit/credits'],"['Wargame', 'World War I']","['Dice Rolling', 'Hexagon Grid']","['Country: Romania', 'Country: Serbia', 'Series: Der Weltkrieg']"
1,['https://boardgamegeek.com/boardgame/249677/gruff-stuff-nightmares/credits'],"['Card Game', 'Fantasy', 'Fighting']","['Campaign / Battle Card Driven', 'Card Drafting', 'Variable Player Powers']",[]
2,['https://boardgamegeek.com/boardgame/127589/slavika/credits'],"['Card Game', 'Fantasy', 'Medieval', 'Mythology']","['Area Majority / Influence', 'Hand Management']","['Creatures: Monsters', 'Slavika']"
3,['https://boardgamegeek.com/boardgame/265399/godsforge/credits'],"['Card Game', 'Dice']","['Dice Rolling', 'Simultaneous Action Selection']",[]
4,['https://boardgamegeek.com/boardgame/120547/war-peace/credits'],"['Miniatures', 'Napoleonic', 'Wargame']","['Area Majority / Influence', 'Area Movement', 'Dice Rolling']",[]
5,['https://boardgamegeek.com/boardgame/67631/scrabble-flash/credits'],"['Electronic', 'Real-time', 'Word Game']",[],"['Game: Boggle', 'Game: Scrabble', 'Word Games: Spelling / Letters']"
6,['https://boardgamegeek.com/boardgame/35305/kahmate/credits'],['Sports'],"['Hand Management', 'Variable Player Powers']",['Sports: Rugby']
7,['https://boardgamegeek.com/boardgame/194028/rabbit-rally/credits'],"['Animals', ""Children's Game""]","['Dice Rolling', 'Point to Point Movement']",[]
8,['https://boardgamegeek.com/boardgame/136279/kreuzwort/credits'],"['Dice', 'Word Game']",[],"['Components: Letter Cubes / Word Dice', 'Mechanic: Roll-and-write', 'Word Games: Spelling / Letters']"
9,['https://boardgamegeek.com/boardgame/195163/spy-tricks/credits'],['Card Game'],['Trick-taking'],[]
10,['https://boardgamegeek.com/boardgame/249824/munchkin-deluxe-harry-potter/credits'],"['Card Game', 'Movies / TV / Radio theme']","['Take That', 'Variable Player Powers']","['Books: Harry Potter', 'Game: Munchkin']"
11,['https://boardgamegeek.com/boardgame/10534/napoleons-art-war-eylau-dresden/credits'],"['Napoleonic', 'Wargame']","['Dice Rolling', 'Hexagon Grid']","['Cities: Dresden (Saxony, Germany)', 'Country: Germany', 'Country: Poland', 'Magazine: Strategy & Tactics', 'Napoleon At Waterloo']"
12,['https://boardgamegeek.com/boardgame/38755/college-basketball-dynasty/credits'],"['Print & Play', 'Sports']","['Card Drafting', 'Simulation', 'Tile Placement', 'Variable Player Powers']","['Players: Games with Solitaire Rules', 'Sports: Basketball']"
13,['https://boardgamegeek.com/boardgame/282530/crash-test-bunnies/credits'],"['Card Game', ""Children's Game"", 'Party Game', 'Racing']",[],[]
14,['https://boardgamegeek.com/boardgame/4964/close-assault-man-man-game-squad-tactics-and-comma/credits'],"['Wargame', 'World War II']","['Action Points', 'Chit-Pull System', 'Hexagon Grid']",[]
15,['https://boardgamegeek.com/boardgame/6750/diceland-ogre/credits'],"['Action / Dexterity', 'Collectible Components', 'Dice', 'Fighting', 'Science Fiction']","['Action Points', 'Dice Rolling', 'Hand Management', 'Variable Player Powers']","['Game: Diceland', 'Game: Ogre / G.E.V.']"
16,['https://boardgamegeek.com/boardgame/256381/fado-duetos-e-desgarradas/credits'],"['Card Game', 'Real-time']","['Card Drafting', 'Hand Management', 'Set Collection']","['Cities: Lisbon (Portugal)', 'Country: Portugal', 'Music Making & Makers']"
17,['https://boardgamegeek.com/boardgame/229235/guardians-call/credits'],"['Bluffing', 'Deduction']","['Card Drafting', 'Hand Management', 'Set Collection', 'Variable Player Powers']","['Components: Game Trayz Inside', 'Crowdfunding: Kickstarter']"
18,['https://boardgamegeek.com/boardgame/3035/last-days-grande-armee-four-days-waterloo-june-15/credits'],"['Napoleonic', 'Wargame']","['Dice Rolling', 'Hexagon Grid', 'Movement Points', 'Simulation']",['Series: Campaigns of Napoleon System: Days']
19,['https://boardgamegeek.com/boardgame/49394/battleground-fantasy-warfare-dwarves-runegard/credits'],"['Card Game', 'Dice', 'Fantasy', 'Wargame']",['Variable Phase Order'],['Game: Battleground Fantasy Warfare']
20,['https://boardgamegeek.com/boardgame/18579/nightmare-christmas-tcg/credits'],"['Card Game', 'Collectible Components', 'Horror', 'Movies / TV / Radio theme']",['Hand Management'],"['Brands: Disney', 'CCGs (Collectible Card Games)', 'Holidays: Christmas', 'Movies: The Nightmare Before Christmas']"
21,['https://boardgamegeek.com/boardgame/230266/scare-it/credits'],"['Animals', 'Card Game']",['Rock-Paper-Scissors'],"['Animals: Cats', 'Animals: Dogs', 'Animals: Elephants', 'Animals: Mice', 'Crowdfunding: Kickstarter']"
22,['https://boardgamegeek.com/boardgame/16674/advanced-tobruk-system-basic-game-1a-screaming-eag/credits'],"['Wargame', 'World War II']","['Hexagon Grid', 'Simulation']",['Series: Advanced Tobruk System (Critical Hit)']
23,['https://boardgamegeek.com/boardgame/3576/operation-olympic-invasion-japan-1-november-1945/credits'],"['Wargame', 'World War II']","['Hexagon Grid', 'Simulation']","['Country: Japan', 'Magazine: Strategy & Tactics']"
24,['https://boardgamegeek.com/boardgame/152174/pressure-cooker/credits'],['Real-time'],"['Pattern Recognition', 'Pick-up and Deliver', 'Set Collection']",['Theme: Food / Cooking']
25,['https://boardgamegeek.com/boardgame/33541/friedland-1807/credits'],"['Napoleonic', 'Wargame']","['Chit-Pull System', 'Hexagon Grid']","['Country: Russia', 'Series: Jours de Gloire (Frédéric Bey)']"
26,['https://boardgamegeek.com/boardgame/159160/battlegroup-rule-book/credits'],"['Book', 'Miniatures', 'Wargame', 'World War II']","['Action Points', 'Dice Rolling', 'Variable Player Powers']",['Series: Battlegroup Rules']
27,['https://boardgamegeek.com/boardgame/6721/victory-vietnam/credits'],"['Vietnam War', 'Wargame']","['Hexagon Grid', 'Secret Unit Deployment']","['Continents: Asia', 'Country: Vietnam']"
28,['https://boardgamegeek.com/boardgame/13645/oconnors-offensive/credits'],"['Wargame', 'World War II']",['Hexagon Grid'],"['Magazine: Wargamer', 'Series: Battles for North Africa (3W)']"
29,['https://boardgamegeek.com/boardgame/487/power/credits'],"['Abstract Strategy', 'Modern Warfare']","['Area Movement', 'Secret Unit Deployment', 'Simultaneous Action Selection']",[]
30,['https://boardgamegeek.com/boardgame/1288/jitters/credits'],"['Real-time', 'Word Game']",['Dice Rolling'],['Components: Letter Cubes / Word Dice']
31,['https://boardgamegeek.com/boardgame/160950/badger-deck/credits'],"['Card Game', 'Game System']",[],['Animals: Badgers']
32,['https://boardgamegeek.com/boardgame/137811/galactic-strike-force/credits'],"['Card Game', 'Science Fiction']","['Cooperative Game', 'Deck, Bag, and Pool Building']",['Crowdfunding: Kickstarter']
