age,max_play_time,max_players,min_play_time,min_players,url,weight
"minage"":""4","maxplaytime"":""15","maxplayers"":""4","minplaytime"":""10","minplayers"":""2",https://boardgamegeek.com/boardgame/235867/unicorn-glitterluck-party-rosalie/credits,
"minage"":""6","maxplaytime"":""15","maxplayers"":""5","minplaytime"":""15","minplayers"":""2",https://boardgamegeek.com/boardgame/235251/forest/credits,
"minage"":""18","maxplaytime"":""120","maxplayers"":""4","minplaytime"":""60","minplayers"":""1",https://boardgamegeek.com/boardgame/274056/hel-last-saga/credits,"""averageweight"":2.5555555555555554"
"minage"":""6","maxplaytime"":""15","maxplayers"":""5","minplaytime"":""15","minplayers"":""2",https://boardgamegeek.com/boardgame/165743/love-and-war/credits,
"minage"":""14","maxplaytime"":""20","maxplayers"":""2","minplaytime"":""10","minplayers"":""1",https://boardgamegeek.com/boardgame/245528/grimslingers-advanced-duels/credits,
"minage"":""10","maxplaytime"":""30","maxplayers"":""4","minplaytime"":""30","minplayers"":""2",https://boardgamegeek.com/boardgame/20057/phantom-rummy/credits,"""averageweight"":1.875"
"minage"":""0","maxplaytime"":""0","maxplayers"":""2","minplaytime"":""0","minplayers"":""2",https://boardgamegeek.com/boardgame/38141/bitwy-ii-wojny-swiatowej/credits,"""averageweight"":4.5714285714285712"
"minage"":""8","maxplaytime"":""10","maxplayers"":""2","minplaytime"":""10","minplayers"":""2",https://boardgamegeek.com/boardgame/3946/pyramid/credits,"""averageweight"":1.5"
"minage"":""8","maxplaytime"":""15","maxplayers"":""4","minplaytime"":""15","minplayers"":""2",https://boardgamegeek.com/boardgame/177572/monkey-road/credits,
"minage"":""14","maxplaytime"":""180","maxplayers"":""2","minplaytime"":""180","minplayers"":""2",https://boardgamegeek.com/boardgame/8700/empire-third-edition/credits,
"minage"":""6","maxplaytime"":""20","maxplayers"":""10","minplaytime"":""20","minplayers"":""2",https://boardgamegeek.com/boardgame/192237/specific/credits,
"minage"":""10","maxplaytime"":""90","maxplayers"":""2","minplaytime"":""90","minplayers"":""2",https://boardgamegeek.com/boardgame/1427/gro-battle-petri-dish/credits,"""averageweight"":2.5"
"minage"":""12","maxplaytime"":""45","maxplayers"":""6","minplaytime"":""45","minplayers"":""3",https://boardgamegeek.com/boardgame/8503/arkansas-bluff/credits,
"minage"":""8","maxplaytime"":""15","maxplayers"":""6","minplaytime"":""15","minplayers"":""2",https://boardgamegeek.com/boardgame/148660/clumsy-thief/credits,
"minage"":""12","maxplaytime"":""45","maxplayers"":""5","minplaytime"":""30","minplayers"":""2",https://boardgamegeek.com/boardgame/179227/3-seeds-reap-where-you-sow/credits,
"minage"":""14","maxplaytime"":""120","maxplayers"":""6","minplaytime"":""30","minplayers"":""2",https://boardgamegeek.com/boardgame/155494/game-developerz/credits,"""averageweight"":1.75"
"minage"":""12","maxplaytime"":""60","maxplayers"":""2","minplaytime"":""60","minplayers"":""2",https://boardgamegeek.com/boardgame/3571/spitfire-tactical-aerial-combat-europe-1939-42/credits,"""averageweight"":2.7777777777777777"
"minage"":""12","maxplaytime"":""60","maxplayers"":""6","minplaytime"":""60","minplayers"":""3",https://boardgamegeek.com/boardgame/2927/slasher-final-cut/credits,"""averageweight"":1.8"
"minage"":""7","maxplaytime"":""45","maxplayers"":""4","minplaytime"":""45","minplayers"":""2",https://boardgamegeek.com/boardgame/101239/ponder/credits,
"minage"":""12","maxplaytime"":""120","maxplayers"":""2","minplaytime"":""120","minplayers"":""1",https://boardgamegeek.com/boardgame/5382/oil-war-american-intervention-persian-gulf/credits,"""averageweight"":2.3448275862068964"
"minage"":""4","maxplaytime"":""15","maxplayers"":""4","minplaytime"":""10","minplayers"":""2",https://boardgamegeek.com/boardgame/218842/yukon-salon/credits,
"minage"":""12","maxplaytime"":""120","maxplayers"":""2","minplaytime"":""120","minplayers"":""2",https://boardgamegeek.com/boardgame/8446/campaigns-valley/credits,"""averageweight"":2.6000000000000001"
"minage"":""10","maxplaytime"":""180","maxplayers"":""6","minplaytime"":""180","minplayers"":""2",https://boardgamegeek.com/boardgame/9610/travspelet-med-v65/credits,"""averageweight"":2.2000000000000002"
"minage"":""5","maxplaytime"":""10","maxplayers"":""10","minplaytime"":""10","minplayers"":""3",https://boardgamegeek.com/boardgame/131182/swintus-junior/credits,
"minage"":""12","maxplaytime"":""120","maxplayers"":""3","minplaytime"":""120","minplayers"":""2",https://boardgamegeek.com/boardgame/1560/hero-game-adventure-catacombs/credits,"""averageweight"":2.4444444444444446"
"minage"":""8","maxplaytime"":""15","maxplayers"":""2","minplaytime"":""10","minplayers"":""1",https://boardgamegeek.com/boardgame/22080/brain-trainer/credits,"""averageweight"":1.75"
"minage"":""5","maxplaytime"":""10","maxplayers"":""9","minplaytime"":""10","minplayers"":""2",https://boardgamegeek.com/boardgame/1215/monkey-memory/credits,
"minage"":""4","maxplaytime"":""15","maxplayers"":""4","minplaytime"":""15","minplayers"":""2",https://boardgamegeek.com/boardgame/21986/ramba-samba/credits,
"minage"":""12","maxplaytime"":""60","maxplayers"":""6","minplaytime"":""60","minplayers"":""3",https://boardgamegeek.com/boardgame/165208/aruba-battle-race/credits,"""averageweight"":1.5"
"minage"":""10","maxplaytime"":""30","maxplayers"":""5","minplaytime"":""30","minplayers"":""2",https://boardgamegeek.com/boardgame/26157/top-oder-flop/credits,
"minage"":""8","maxplaytime"":""30","maxplayers"":""4","minplaytime"":""30","minplayers"":""2",https://boardgamegeek.com/boardgame/140859/maccabees/credits,"""averageweight"":1.5"
"minage"":""0","maxplaytime"":""120","maxplayers"":""2","minplaytime"":""120","minplayers"":""2",https://boardgamegeek.com/boardgame/85123/joan-arcs-victory-1429-ad/credits,"""averageweight"":2.2000000000000002"
"minage"":""8","maxplaytime"":""20","maxplayers"":""6","minplaytime"":""20","minplayers"":""2",https://boardgamegeek.com/boardgame/73574/rainbow/credits,
"minage"":""10","maxplaytime"":""60","maxplayers"":""4","minplaytime"":""60","minplayers"":""2",https://boardgamegeek.com/boardgame/1162/burp/credits,"""averageweight"":1.6666666666666667"
"minage"":""12","maxplaytime"":""15","maxplayers"":""10","minplaytime"":""15","minplayers"":""2",https://boardgamegeek.com/boardgame/206082/eye-sea/credits,
"minage"":""10","maxplaytime"":""30","maxplayers"":""6","minplaytime"":""30","minplayers"":""2",https://boardgamegeek.com/boardgame/21382/in10sity/credits,"""averageweight"":1.2857142857142858"
