age,max_play_time,max_players,min_play_time,min_players,url,weight
"minage"":""12","maxplaytime"":""120","maxplayers"":""4","minplaytime"":""60","minplayers"":""1",https://boardgamegeek.com/boardgame/174430/gloomhaven/credits,"""averageweight"":3.8323586744639377"
"minage"":""13","maxplaytime"":""60","maxplayers"":""4","minplaytime"":""60","minplayers"":""2",https://boardgamegeek.com/boardgame/161936/pandemic-legacy-season-1/credits,"""averageweight"":2.8296650717703349"
"minage"":""14","maxplaytime"":""120","maxplayers"":""4","minplaytime"":""60","minplayers"":""2",https://boardgamegeek.com/boardgame/224517/brass-birmingham/credits,"""averageweight"":3.9290322580645163"
"minage"":""12","maxplaytime"":""120","maxplayers"":""5","minplaytime"":""120","minplayers"":""1",https://boardgamegeek.com/boardgame/167791/terraforming-mars/credits,"""averageweight"":3.2370806890299182"
"minage"":""14","maxplaytime"":""120","maxplayers"":""4","minplaytime"":""120","minplayers"":""2",https://boardgamegeek.com/boardgame/182028/through-ages-new-story-civilization/credits,"""averageweight"":4.3949999999999996"
"minage"":""14","maxplaytime"":""480","maxplayers"":""6","minplaytime"":""240","minplayers"":""3",https://boardgamegeek.com/boardgame/233078/twilight-imperium-fourth-edition/credits,"""averageweight"":4.2201646090534979"
"minage"":""14","maxplaytime"":""240","maxplayers"":""4","minplaytime"":""180","minplayers"":""2",https://boardgamegeek.com/boardgame/187645/star-wars-rebellion/credits,"""averageweight"":3.7018813314037629"
"minage"":""12","maxplaytime"":""150","maxplayers"":""4","minplaytime"":""60","minplayers"":""1",https://boardgamegeek.com/boardgame/220308/gaia-project/credits,"""averageweight"":4.3310023310023311"
"minage"":""13","maxplaytime"":""180","maxplayers"":""2","minplaytime"":""120","minplayers"":""2",https://boardgamegeek.com/boardgame/12333/twilight-struggle/credits,"""averageweight"":3.5756693830034925"
"minage"":""12","maxplaytime"":""150","maxplayers"":""4","minplaytime"":""75","minplayers"":""2",https://boardgamegeek.com/boardgame/193738/great-western-trail/credits,"""averageweight"":3.6991951710261568"
"minage"":""14","maxplaytime"":""115","maxplayers"":""5","minplaytime"":""90","minplayers"":""1",https://boardgamegeek.com/boardgame/169786/scythe/credits,"""averageweight"":3.3941058941058939"
"minage"":""13","maxplaytime"":""180","maxplayers"":""4","minplaytime"":""150","minplayers"":""2",https://boardgamegeek.com/boardgame/115746/war-ring-second-edition/credits,"""averageweight"":4.0999999999999996"
"minage"":""13","maxplaytime"":""120","maxplayers"":""4","minplaytime"":""90","minplayers"":""1",https://boardgamegeek.com/boardgame/162886/spirit-island/credits,"""averageweight"":3.9618395303326812"
"minage"":""12","maxplaytime"":""90","maxplayers"":""4","minplaytime"":""30","minplayers"":""2",https://boardgamegeek.com/boardgame/84876/castles-burgundy/credits,"""averageweight"":3.0008960573476702"
"minage"":""12","maxplaytime"":""150","maxplayers"":""5","minplaytime"":""60","minplayers"":""2",https://boardgamegeek.com/boardgame/120677/terra-mystica/credits,"""averageweight"":3.9566439181051787"
"minage"":""10","maxplaytime"":""30","maxplayers"":""2","minplaytime"":""30","minplayers"":""2",https://boardgamegeek.com/boardgame/173346/7-wonders-duel/credits,"""averageweight"":2.2192816635160679"
"minage"":""13","maxplaytime"":""100","maxplayers"":""5","minplaytime"":""100","minplayers"":""2",https://boardgamegeek.com/boardgame/124361/concordia/credits,"""averageweight"":3.0415094339622644"
"minage"":""14","maxplaytime"":""120","maxplayers"":""4","minplaytime"":""60","minplayers"":""2",https://boardgamegeek.com/boardgame/28720/brass-lancashire/credits,"""averageweight"":3.8643578643578644"
"minage"":""10","maxplaytime"":""70","maxplayers"":""5","minplaytime"":""40","minplayers"":""1",https://boardgamegeek.com/boardgame/266192/wingspan/credits,"""averageweight"":2.3830188679245281"
"minage"":""14","maxplaytime"":""120","maxplayers"":""2","minplaytime"":""60","minplayers"":""1",https://boardgamegeek.com/boardgame/205637/arkham-horror-card-game/credits,"""averageweight"":3.3938992042440317"
"minage"":""14","maxplaytime"":""1000","maxplayers"":""4","minplaytime"":""5","minplayers"":""1",https://boardgamegeek.com/boardgame/180263/7th-continent/credits,"""averageweight"":2.8690476190476191"
"minage"":""13","maxplaytime"":""90","maxplayers"":""6","minplaytime"":""45","minplayers"":""1",https://boardgamegeek.com/boardgame/183394/viticulture-essential-edition/credits,"""averageweight"":2.9189580318379162"
"minage"":""12","maxplaytime"":""120","maxplayers"":""4","minplaytime"":""30","minplayers"":""1",https://boardgamegeek.com/boardgame/177736/feast-odin/credits,"""averageweight"":3.8345454545454545"
"minage"":""12","maxplaytime"":""150","maxplayers"":""5","minplaytime"":""90","minplayers"":""3",https://boardgamegeek.com/boardgame/3076/puerto-rico/credits,"""averageweight"":3.282792427315754"
"minage"":""14","maxplaytime"":""240","maxplayers"":""4","minplaytime"":""60","minplayers"":""1",https://boardgamegeek.com/boardgame/96848/mage-knight-board-game/credits,"""averageweight"":4.2981148619026746"
"minage"":""12","maxplaytime"":""90","maxplayers"":""4","minplaytime"":""90","minplayers"":""2",https://boardgamegeek.com/boardgame/164928/orleans/credits,"""averageweight"":3.0512820512820511"
"minage"":""12","maxplaytime"":""210","maxplayers"":""7","minplaytime"":""30","minplayers"":""1",https://boardgamegeek.com/boardgame/102794/caverna-cave-farmers/credits,"""averageweight"":3.784115523465704"
